period,field,row_count,missing_count,missing_share,diagnostic_only
ALL,monthly_revenue_yoy,236800,29454,0.12438344594594594,True
ALL,monthly_revenue_3m_yoy,236800,32407,0.13685388513513513,True
ALL,eps,236800,14502,0.061241554054054056,True
ALL,gross_margin,236800,24757,0.10454814189189189,True
ALL,operating_margin,236800,24190,0.10215371621621622,True
ALL,roe,236800,236800,1.0,True
ALL,traded_value_5d,236800,0,0.0,True
ALL,listing_status,236800,0,0.0,True
P1,monthly_revenue_yoy,164400,28813,0.17526155717761557,True
P1,monthly_revenue_3m_yoy,164400,31747,0.19310827250608273,True
P1,eps,164400,13999,0.08515206812652068,True
P1,gross_margin,164400,21062,0.12811435523114356,True
P1,operating_margin,164400,20705,0.12594282238442822,True
P1,roe,164400,164400,1.0,True
P1,traded_value_5d,164400,0,0.0,True
P1,listing_status,164400,0,0.0,True
P2,monthly_revenue_yoy,72000,636,0.008833333333333334,True
P2,monthly_revenue_3m_yoy,72000,655,0.009097222222222222,True
P2,eps,72000,498,0.0069166666666666664,True
P2,gross_margin,72000,3671,0.050986111111111114,True
P2,operating_margin,72000,3463,0.04809722222222222,True
P2,roe,72000,72000,1.0,True
P2,traded_value_5d,72000,0,0.0,True
P2,listing_status,72000,0,0.0,True
2024_latest,monthly_revenue_yoy,51600,398,0.0077131782945736435,True
2024_latest,monthly_revenue_3m_yoy,51600,409,0.007926356589147287,True
2024_latest,eps,51600,300,0.005813953488372093,True
2024_latest,gross_margin,51600,2604,0.050465116279069765,True
2024_latest,operating_margin,51600,2425,0.04699612403100775,True
2024_latest,roe,51600,51600,1.0,True
2024_latest,traded_value_5d,51600,0,0.0,True
2024_latest,listing_status,51600,0,0.0,True
2026YTD,monthly_revenue_yoy,10400,20,0.0019230769230769232,True
2026YTD,monthly_revenue_3m_yoy,10400,36,0.0034615384615384616,True
2026YTD,eps,10400,9,0.0008653846153846154,True
2026YTD,gross_margin,10400,487,0.04682692307692308,True
2026YTD,operating_margin,10400,422,0.04057692307692308,True
2026YTD,roe,10400,10400,1.0,True
2026YTD,traded_value_5d,10400,0,0.0,True
2026YTD,listing_status,10400,0,0.0,True
