snapshot_date,ticker,name,market,revenue_stability_score,revenue_lumpiness_score,recent_spike_without_long_history_flag,project_based_revenue_risk_proxy,revenue_stability_context_score,revenue_lumpiness_penalty_score,recent_spike_review_flag,project_revenue_proxy_review_flag,low_base_context_label,low_base_tiebreak_cap,overheat_penalty_modifier,layer1_quality_score_soft_adjustment,layer4_risk_context_soft_penalty,hygiene_warning_text_for_report,review_soft_penalty_candidate,review_ticker_requested_by_strategy_center,route_support_selected_result_changed,hard_exclude_applied,hygiene_integration_role,project_based_revenue_risk_proxy_source_quality,source_quality,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-06-29,1513,中興電,TWSE,0.6660761396200345,0.0834359960822185,False,False,0.6660761396200345,0.05423339745344202,False,False,context_only_not_main_weight,0.03,1.052579,0.007795,0.004339,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,2353,宏碁,TWSE,0.6351720111706523,0.1058946333854944,False,False,0.6351720111706523,0.06883151170057136,False,False,context_only_not_main_weight,0.03,1.056228,0.005357,0.005507,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,3443,創意,TWSE,0.7719880166765676,0.1543333164918731,False,False,0.7719880166765676,0.10031665571971751,False,False,stable_quality_context,0.03,1.064099,0.012307,0.008025,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,5880,合庫金,TWSE,0.672039258242823,0.0904527866567612,False,False,0.672039258242823,0.05879431132689478,False,False,context_only_not_main_weight,0.03,1.053719,0.007971,0.004704,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,3042,晶技,TWSE,0.6057100157303522,0.0845822642987332,False,False,0.6057100157303522,0.05497847179417658,False,False,context_only_not_main_weight,0.03,1.052765,0.004143,0.004398,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,5483,中美晶,TPEx,0.599208761678471,0.0778652291056048,False,False,0.599208761678471,0.05061239891864312,False,False,context_only_not_main_weight,0.03,1.051673,0.003928,0.004049,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,3006,晶豪科,TWSE,0.638909657866858,0.2604736395679591,True,True,0.638909657866858,0.5193078657191734,True,True,lumpy_or_spike_review_context,0.03,1.168847,-0.012438,0.101545,近期營收暴增但長期穩定性需人工 review；營收形態偏 lumpy/project-based proxy，僅作風險提醒；營收集中度偏高，Layer4 排序應納入軟扣分,True,True,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,3008,大立光,TWSE,0.6010558064887395,0.1127005904358671,False,False,0.6010558064887395,0.07325538378331362,False,False,context_only_not_main_weight,0.03,1.057334,0.003133,0.00586,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,8299,群聯,TPEx,0.6571794231704862,0.2774647419789006,False,False,0.6571794231704862,0.18035208228628538,False,False,context_only_not_main_weight,0.03,1.084108,0.002217,0.014428,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,8454,富邦媒,TWSE,0.5683367090886805,0.1247117995882771,False,False,0.5683367090886805,0.08106266973238012,False,False,context_only_not_main_weight,0.03,1.059286,0.000858,0.006485,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,6271,同欣電,TWSE,0.5779567263888628,0.0695130238740851,False,False,0.5779567263888628,0.045183465518155316,False,False,context_only_not_main_weight,0.03,1.050316,0.00287,0.003615,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,2383,台光電,TWSE,0.8246782176616475,0.1809476898743902,False,False,0.8246782176616475,0.11761599841835363,False,False,stable_quality_context,0.03,1.068424,0.014776,0.009409,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,2912,統一超,TWSE,0.6542474405733802,0.0676043458914405,False,False,0.6542474405733802,0.04394282482943633,False,False,context_only_not_main_weight,0.03,1.050006,0.007497,0.003515,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,2885,元大金,TWSE,0.7451109328619235,0.1449963488400293,False,False,0.7451109328619235,0.09424762674601904,False,False,stable_quality_context,0.03,1.062582,0.010937,0.00754,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,1605,華新,TWSE,0.5644846516231902,0.0830700806278804,False,False,0.5644846516231902,0.05399555240812227,False,False,context_only_not_main_weight,0.03,1.052519,0.001709,0.00432,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
