date,ticker,prior_factor_date,prior_trusted_adjusted_close,prior_official_raw_close,prior_factor,next_factor_date,next_trusted_adjusted_close,next_official_raw_close,next_factor,absolute_factor_delta,relative_tolerance,raw_close_ready,factor_continuity_pass,factor_basis,neighbor_price_substitution_used
2025-08-01,1477,2025-07-31,249.91603088378903,264.5,0.9448621205436258,2025-08-04,254.64035034179688,269.5,0.9448621534018437,3.28582178132919e-08,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,1519,2025-07-31,667.0,667.0,1.0,2025-08-04,644.0,644.0,1.0,0.0,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,1590,2025-07-31,834.096923828125,856.0,0.9744122941917348,2025-08-04,769.7857055664062,790.0,0.9744122855270965,8.664638340150077e-09,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,2301,2025-07-31,115.1552276611328,119.0,0.9676909887490152,2025-08-04,117.57444763183594,121.5,0.9676909270109953,6.173801980757787e-08,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,2313,2025-07-31,65.0514144897461,65.7,0.9901280744253591,2025-08-04,64.55635070800781,65.2,0.9901280783436781,3.918319002593762e-09,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,2328,2025-07-31,42.402462005615234,43.2,0.9815384723522045,2025-08-04,42.108001708984375,42.9,0.9815385013749272,2.9022722669580503e-08,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,2330,2025-07-31,1144.7412109375,1160.0,0.9868458714978449,2025-08-04,1120.070068359375,1135.0,0.9868458752064978,3.7086529403040913e-09,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,2345,2025-07-31,892.0,892.0,1.0,2025-08-04,885.0,885.0,1.0,0.0,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,2354,2025-07-31,63.1300048828125,64.9,0.9727273479632126,2025-08-04,64.29727172851562,66.1,0.972727257617483,9.034572956423403e-08,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
2025-08-01,2356,2025-07-31,44.5,44.5,1.0,2025-08-04,43.650001525878906,43.65,1.0000000349571343,3.4957134298352344e-08,1e-06,True,True,trusted_adjusted_close_divided_by_same_day_official_raw_close,False
