decision_date,ticker,horizon_td,reason
2024-04-16,6288,40,entry_adjusted_analysis_missing
2024-04-17,6288,5,entry_adjusted_analysis_missing
2024-04-17,6288,10,entry_adjusted_analysis_missing
2024-04-17,6288,20,entry_adjusted_analysis_missing
2024-04-17,6288,40,entry_adjusted_analysis_missing
2024-04-18,6288,5,entry_adjusted_analysis_missing
2024-04-18,6288,10,entry_adjusted_analysis_missing
2024-04-18,6288,20,entry_adjusted_analysis_missing
2024-04-18,6288,40,entry_adjusted_analysis_missing
2024-04-19,6288,5,entry_adjusted_analysis_missing
2024-04-19,6288,10,entry_adjusted_analysis_missing
2024-04-19,6288,20,entry_adjusted_analysis_missing
2024-04-19,6288,40,entry_adjusted_analysis_missing
2026-04-22,6290,40,exit_official_raw_close_missing_or_not_tradable
2026-04-23,6290,40,exit_official_raw_close_missing_or_not_tradable
2026-04-24,6290,40,exit_official_raw_close_missing_or_not_tradable
2026-04-27,6290,40,exit_official_raw_close_missing_or_not_tradable
2026-04-28,6290,40,exit_official_raw_close_missing_or_not_tradable
2026-04-29,6290,40,exit_official_raw_close_missing_or_not_tradable
2026-05-21,6290,20,exit_official_raw_close_missing_or_not_tradable
2026-05-22,6290,20,exit_official_raw_close_missing_or_not_tradable
2026-06-04,6290,10,exit_official_raw_close_missing_or_not_tradable
2026-06-05,6290,10,exit_official_raw_close_missing_or_not_tradable
2026-06-22,6290,5,entry_official_raw_close_missing_or_not_tradable
2026-06-22,6290,10,entry_official_raw_close_missing_or_not_tradable
2026-06-22,6290,20,entry_official_raw_close_missing_or_not_tradable
2026-06-22,6290,40,entry_official_raw_close_missing_or_not_tradable
2026-06-23,6290,5,entry_official_raw_close_missing_or_not_tradable
2026-06-23,6290,10,entry_official_raw_close_missing_or_not_tradable
2026-06-23,6290,20,entry_official_raw_close_missing_or_not_tradable
2026-06-23,6290,40,entry_official_raw_close_missing_or_not_tradable
2026-06-24,6290,5,entry_official_raw_close_missing_or_not_tradable
2026-06-24,6290,10,entry_official_raw_close_missing_or_not_tradable
2026-06-24,6290,20,entry_official_raw_close_missing_or_not_tradable
2026-06-24,6290,40,entry_official_raw_close_missing_or_not_tradable
2026-06-25,6290,5,entry_official_raw_close_missing_or_not_tradable
2026-06-25,6290,10,entry_official_raw_close_missing_or_not_tradable
2026-06-25,6290,20,entry_official_raw_close_missing_or_not_tradable
2026-06-25,6290,40,entry_official_raw_close_missing_or_not_tradable
2026-06-26,6290,5,entry_official_raw_close_missing_or_not_tradable
2026-06-26,6290,10,entry_official_raw_close_missing_or_not_tradable
2026-06-26,6290,20,entry_official_raw_close_missing_or_not_tradable
2026-06-26,6290,40,entry_official_raw_close_missing_or_not_tradable
2026-03-16,6291,40,exit_official_raw_close_missing_or_not_tradable
2026-03-17,6291,40,exit_official_raw_close_missing_or_not_tradable
2026-03-18,6291,40,exit_official_raw_close_missing_or_not_tradable
2026-03-19,6291,40,exit_official_raw_close_missing_or_not_tradable
2026-03-20,6291,40,exit_official_raw_close_missing_or_not_tradable
2026-04-07,6291,40,exit_official_raw_close_missing_or_not_tradable
2026-04-08,6291,40,exit_official_raw_close_missing_or_not_tradable
2026-04-09,6291,20,exit_official_raw_close_missing_or_not_tradable
2026-04-09,6291,40,exit_official_raw_close_missing_or_not_tradable
2026-04-10,6291,20,exit_official_raw_close_missing_or_not_tradable
2026-04-10,6291,40,exit_official_raw_close_missing_or_not_tradable
2023-09-27,6409,40,exit_official_raw_close_missing_or_not_tradable
