horizon_td,requested_rows,ready_rows,terminal_rows,blocked_rows,actual_entry_start,actual_entry_end,actual_exit_end,ready_share
5,57200,51482,269,5449,2023-07-18,2026-06-29,2026-06-29,0.900034965034965
10,57200,50179,589,6432,2023-07-18,2026-06-29,2026-06-29,0.8772552447552447
20,57200,47975,1162,8063,2023-07-18,2026-06-29,2026-06-29,0.8387237762237763
40,57200,44794,2540,9866,2023-07-18,2026-06-29,2026-06-29,0.7831118881118881
