date,ticker,open,high,low,close,adj_close,volume,source,source_month,source_type,adjustment_policy
2014-11-03,00631L.TW,20.18,20.55,20.18,20.36,20.36,9493012.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-04,00631L.TW,20.5,20.65,20.35,20.47,20.47,6319001.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-05,00631L.TW,20.51,20.55,20.27,20.3,20.3,6678011.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-06,00631L.TW,20.36,20.4,20.01,20.01,20.01,11615001.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-07,00631L.TW,20.08,20.18,19.9,20.13,20.13,7986000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-10,00631L.TW,20.17,20.84,20.17,20.74,20.74,11468000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-11,00631L.TW,20.8,20.87,20.66,20.69,20.69,5157500.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-12,00631L.TW,20.5,20.58,20.01,20.1,20.1,4540000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-13,00631L.TW,20.18,20.34,20.11,20.3,20.3,2603000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-14,00631L.TW,20.31,20.44,20.22,20.32,20.32,2766000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-17,00631L.TW,20.51,20.6,19.93,20.06,20.06,6690000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-18,00631L.TW,20.12,20.25,19.8,19.9,19.9,4107100.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-19,00631L.TW,19.95,20.47,19.95,20.38,20.38,7710000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-20,00631L.TW,20.5,20.92,20.5,20.91,20.91,4873000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-21,00631L.TW,20.93,21.03,20.87,20.94,20.94,3379000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-24,00631L.TW,21.05,21.4,21.0,21.02,21.02,7501100.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-25,00631L.TW,21.04,21.2,20.82,21.1,21.1,8497000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-26,00631L.TW,21.07,21.13,20.97,21.06,21.06,6362000.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-27,00631L.TW,21.18,21.57,21.18,21.35,21.35,5204400.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-11-28,00631L.TW,21.35,21.46,21.29,21.4,21.4,7845400.0,TWSE_STOCK_DAY,2014-11,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-01,00631L.TW,20.9,21.31,20.61,21.03,21.03,7717000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-02,00631L.TW,20.8,20.9,20.45,20.55,20.55,4091000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-03,00631L.TW,20.68,21.26,20.58,21.21,21.21,6932000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-04,00631L.TW,21.43,21.58,21.32,21.42,21.42,3114000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-05,00631L.TW,21.33,21.43,21.22,21.32,21.32,2654000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-08,00631L.TW,21.4,21.46,21.1,21.17,21.17,1513002.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-09,00631L.TW,21.0,21.06,20.9,20.92,20.92,3903000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-10,00631L.TW,20.8,20.91,20.32,20.38,20.38,5589000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-11,00631L.TW,20.31,20.47,20.12,20.35,20.35,5852000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-12,00631L.TW,20.36,20.58,20.33,20.35,20.35,3457200.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
2014-12-15,00631L.TW,20.16,20.29,19.99,20.29,20.29,3245000.0,TWSE_STOCK_DAY,2014-12,official_real_price,twse_raw_close_as_adj_close_pending_distribution_review
