baseline_compact_universe_row_id,snapshot_date,ticker,name,market,variant,scope_type,active_for_layer1_source_scope,selection_bucket,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,layer1_financial_risk_flag_count,layer1_quality_floor_risk_pctile_by_week,layer1_exclude_bottom20_candidate,layer1_exclude_bottom30_candidate,diagnostic_only,not_live_rule,forward_returns_live_rule_usage,forward_excess_vs_0050_20d,forward_excess_vs_00631L_20d,RS5,RS10,RS20,RS40,RS60,RS30_proxy,RS30_source_quality,rs5_minus_rs10,rs10_minus_rs20,rs20_minus_rs60,rs_short_acceleration_flag,rs_short_deterioration_flag,rs20_primary_positive_flag,rs30_proxy_positive_flag,rs60_medium_context_positive_flag,rs60_pctile_by_week,rs60_top20_by_week,rs60_top10_by_week,rs60_high_short_rs_weakening_exhaustion_context,forward_eval_available_20d,P2_top_decile_vs_00631L_20d,P2_bottom_decile_vs_00631L_20d,traded_value_5d,traded_value_20d,traded_value_60d,rank_improvement_5d_vs_60d,top300_5d_count_last4w,buffer_candidate_rank_251_300,buffer_included_by_2in4,buffer_included_by_20d60d,pure_5d_burst_watchlist_only,monthly_revenue_available,quarterly_fundamental_available,negative_revenue_yoy_flag,negative_revenue_3m_yoy_flag,negative_eps_flag,negative_operating_income_flag,low_gross_margin_flag,missing_core_fundamental_flag,BIAS20,drawdown_20d,BIAS60,drawdown_60d,BIAS120,drawdown_120d,volatility,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,capital_rank_20d_pctile_by_week,capital_rank_20d_reasonable_band_300,capital_rank_20d_top30pct_context,capital_rank_60d_pctile_by_week,capital_rank_60d_reasonable_band_300,capital_rank_60d_top30pct_context,capital_rank_improvement_20d_vs_60d,capital_rank_20d_improving_vs_60d,capital_rank_20d_deteriorating_vs_60d,capital_reasonable_band_4w_count,capital_reasonable_band_4w_persistent,pure_5d_burst_without_20d60d_confirmation,rs20_30_primary_momentum_positive,rs20_30_primary_momentum_stable,rs60_background_supportive,rs_acceleration_warning_context,rs_deterioration_warning_context,rs_exhaustion_warning_context,layer1_pass_bottom20,layer1_pass_bottom30,capital_support_reasonable_not_topk_required,stable_strong_protection_candidate,multi_week_consistency_candidate,bias20_overheat_context,bias60_overheat_context,bias_overheat_penalty_context,volatility_available,volatility_pctile_by_week,volatility_high_context,layer1_risk_high_context,risk_overheat_penalty_context,large_down_day_available,blowoff_turnover_available,risk_bucket_available,soft_score_feature_contract_only,suggested_component_design_only,selector_output,live_rule,evaluation_metadata_only,forward_return_as_rule,future_return_as_rule,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed
2015-01-09|1101,2015-01-09,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,70.0,70.0,70.0,1,0.5016666666666667,False,False,True,True,False,-0.0213620899246425,0.0429724164941591,,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,,False,False,False,True,,,1625325492.0,1625325492.0,1625325492.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,0.7692307692307692,True,True,0.7692307692307692,True,True,0.0,False,False,1.0,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-01-16|1101,2015-01-16,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,48.0,56.0,56.0,1,0.5017667844522968,False,False,True,True,False,-0.043417575898073,0.0591526876440993,0.0014528194240974,,,,,,proxy_midpoint_rs20_rs40,,,,False,False,False,False,False,,False,False,False,True,,,2282332429.0,3907657921.0,3907657921.0,8.0,2.0,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,0.8049645390070922,True,True,0.8049645390070922,True,True,0.0,False,False,2.0,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-01-23|1101,2015-01-23,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,63.0,58.0,58.0,1,0.5017667844522968,False,False,True,True,False,0.0062014070099256,0.039715751685133,-0.0295546082802375,-0.0277833445907813,,,,,proxy_midpoint_rs20_rs40,-0.0017712636894561,,,False,False,False,False,False,,False,False,False,True,,,1763205032.0,5670862953.0,5670862953.0,-5.0,3.0,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,0.7978723404255319,True,True,0.7978723404255319,True,True,0.0,False,False,3.0,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-01-30|1101,2015-01-30,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,64.0,59.0,59.0,1,0.5017361111111112,False,False,True,True,False,-0.0257075682396693,0.0020684464320436,0.0184732883376969,-0.0104236390665188,,,,,proxy_midpoint_rs20_rs40,0.0288969274042157,,,False,False,False,False,False,,False,False,False,True,,,1495611209.0,7166474162.0,7166474162.0,-5.0,4.0,False,False,False,False,False,False,False,False,False,False,False,True,0.0144668690837649,-0.0093023255813953,,,,,,0.7508555783709788,,,0.7979094076655052,True,True,0.7979094076655052,True,True,0.0,False,False,4.0,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-02-06|1101,2015-02-06,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,97.0,66.0,63.0,1,0.5017123287671232,False,False,True,True,False,-0.0222693579793219,-0.0073522907646751,-0.0122030805774998,0.0063728659146717,-0.0213620899246425,,,-0.0213620899246425,proxy_midpoint_rs20_rs40,-0.0185759464921715,0.0277349558393142,,False,False,False,False,False,,False,False,False,True,,,1010761405.0,6551910075.0,8177235567.0,-34.0,4.0,False,False,False,False,False,False,False,False,False,False,False,True,0.0122516950160578,-0.0093131548311992,,,,,0.0096718210710645,0.7638795986622073,,,0.7766323024054983,True,True,0.7869415807560137,True,True,-3.0,False,True,4.0,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.12027491408934708,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-02-13|1101,2015-02-13,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,73.0,73.0,65.0,1,0.5017301038062284,False,False,True,True,False,-0.018677406468809,0.014746904364607,-0.0195826388838952,-0.0318869861024311,-0.043417575898073,,,-0.043417575898073,proxy_midpoint_rs20_rs40,0.0123043472185358,0.0115305897956419,,True,False,False,False,False,,False,False,False,True,,,1161003223.0,5430580869.0,9338238790.0,-8.0,4.0,False,False,False,False,True,False,False,False,False,False,False,True,-0.0021306818181818,-0.0186263096623982,,,,,0.0090245814733036,0.5738786279683378,,,0.75,True,True,0.7777777777777778,True,True,-8.0,False,True,4.0,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,0.13541666666666666,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-02-26|1101,2015-02-26,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,70.0,79.0,65.0,1,0.5017301038062284,False,False,True,True,False,-7.007447345763751e-05,-0.0341143887049311,-0.0010683712993695,-0.0023801869608879,-0.0178415234907038,,,-0.0178415234907038,proxy_midpoint_rs20_rs40,0.0013118156615184,0.0154613365298158,,True,False,False,False,False,,False,False,False,True,,,1378675015.0,5309726946.0,9988931315.0,-5.0,4.0,False,False,False,False,True,False,False,False,False,False,False,True,0.0141676505312869,0.0,,,,,0.009475552848225,0.6708526107072043,,,0.7291666666666667,True,True,0.7777777777777778,True,True,-14.0,False,True,4.0,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,0.15625,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-03-06|1101,2015-03-06,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,109.0,81.0,76.0,1,0.5017182130584192,False,False,True,True,False,0.017859804785599,0.0177083553175181,0.0164255539210523,0.0156567046564175,0.0058222792340967,,,0.0058222792340967,proxy_midpoint_rs20_rs40,0.0007688492646347,0.0098344254223208,,True,False,True,True,False,,False,False,False,True,,,1207215669.0,5103134166.0,11196146984.0,-33.0,4.0,False,False,False,False,True,False,False,False,False,False,False,True,0.0178445644517493,-0.0057339449541284,,,,,0.0104930850484179,0.6162943495400789,,,0.7241379310344828,True,True,0.7413793103448276,True,True,-5.0,False,True,4.0,True,False,True,True,False,True,False,False,True,True,True,True,True,False,False,False,True,0.16838487972508592,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-03-13|1101,2015-03-13,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,69.0,85.0,74.0,1,0.5017241379310344,False,False,True,True,False,0.0335997376301824,0.0408230389384832,-0.0203603572989717,-0.0042067884537845,-0.0066027384867142,-0.0684615280805203,,-0.0375321332836172,proxy_midpoint_rs20_rs40,-0.0161535688451872,0.0023959500329296,,False,False,False,False,False,,False,False,False,True,,,1663946208.0,5307636480.0,12860093192.0,5.0,4.0,False,False,False,False,True,False,False,False,False,False,False,True,-0.005121563548596,-0.0309633027522936,,,,,0.0110289704403759,0.3184796854521625,,,0.7093425605536332,True,True,0.7474048442906575,True,True,-11.0,False,True,4.0,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.18620689655172415,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
2015-03-20|1101,2015-03-20,1101,台泥,TWSE,top250_core_conditional_buffer50,active_layer1_source_scope,True,core,82.0,77.0,73.0,1,0.5017182130584192,False,False,True,True,False,0.0581819164777482,0.017351080553162,-0.0158385545713812,-0.0361194894618054,-0.0212788581333278,-0.0524549284177879,,-0.0368668932755578,proxy_midpoint_rs20_rs40,0.0202809348904241,-0.0148406313284775,,False,False,False,False,False,,False,False,False,True,,,1617214068.0,5867050960.0,14477307260.0,-9.0,4.0,False,False,False,False,True,False,False,False,False,False,False,True,-0.0048872401813577,-0.0309633027522936,,,,,0.0126917682077404,0.2793442622950819,,,0.7379310344827585,True,True,0.7517241379310344,True,True,-4.0,False,True,4.0,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.2268041237113402,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
