signal_family,variant,path_bucket,timing_variant,rows,path_ready_rows,blocked_rows,entry_ready_rows,exit_ready_rows,path_ready_share,diagnostic_only
legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top1_rs20_proxy,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top1_rs20_proxy,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top1_rs20_proxy,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,0,411,0,0,0.0,True
regime_switch,conservative_hurdle_route,00631L_reference,next_day_close_entry_fixed_5td_exit,57,57,0,57,57,1.0,True
regime_switch,conservative_hurdle_route,00631L_reference,next_day_open_entry_fixed_5td_exit,57,0,57,0,0,0.0,True
regime_switch,conservative_hurdle_route,00631L_reference,same_week_close_to_next_rebalance_close_comparator,57,57,0,57,57,1.0,True
regime_switch,conservative_hurdle_route,ordinary_stock,next_day_close_entry_fixed_5td_exit,354,0,354,0,0,0.0,True
regime_switch,conservative_hurdle_route,ordinary_stock,next_day_open_entry_fixed_5td_exit,354,0,354,0,0,0.0,True
regime_switch,conservative_hurdle_route,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,354,0,354,0,0,0.0,True
regime_switch,dispersion_route,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
regime_switch,dispersion_route,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
regime_switch,dispersion_route,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,0,411,0,0,0.0,True
regime_switch,hybrid_pullback_base_mega_override,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
regime_switch,hybrid_pullback_base_mega_override,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
regime_switch,hybrid_pullback_base_mega_override,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,0,411,0,0,0.0,True
regime_switch,market_bias_pool_trend_route,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
regime_switch,market_bias_pool_trend_route,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
regime_switch,market_bias_pool_trend_route,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,0,411,0,0,0.0,True
regime_switch,pool_breadth_route,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
regime_switch,pool_breadth_route,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,0,411,0,0,0.0,True
regime_switch,pool_breadth_route,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,0,411,0,0,0.0,True
