signal_date,signal_family,variant,route_or_mode,ticker,executable_ticker,name,path_bucket,timing_variant,entry_date,exit_date,entry_price_kind,exit_price_kind,entry_price,exit_price,gross_return,net_return_local_ep05_cost_unit_notional,entry_ready,exit_ready,path_ready,source_quality,blocked_reason,adjusted_close_ready,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2015-01-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1216,1216,統一,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1216,1216,統一,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1216,1216,統一,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,1101,台泥,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,1101,台泥,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,1101,台泥,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,1216,1216,統一,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,1216,1216,統一,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,1216,1216,統一,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,conservative_hurdle_route,hurdle_reference,2330,00631L,台積電,00631L_reference,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,0.8713600039482117,0.881820023059845,0.012004245161859606,0.008113682202550104,True,True,True,benchmark_features_adjusted_close_reference_only,,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,conservative_hurdle_route,hurdle_reference,2330,00631L,台積電,00631L_reference,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,0.875,0.8777300119400024,0.0031200136457170125,-0.0007359381244495547,True,True,True,benchmark_features_adjusted_close_reference_only,,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,conservative_hurdle_route,hurdle_reference,2330,00631L,台積電,00631L_reference,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,00631L_reference_missing_benchmark_close,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,dispersion_route,low_risk_strength,2330,2330,台積電,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,dispersion_route,low_risk_strength,2330,2330,台積電,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,dispersion_route,low_risk_strength,2330,2330,台積電,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2330,2330,台積電,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2330,2330,台積電,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2330,2330,台積電,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,market_bias_pool_trend_route,pullback_repair,2330,2330,台積電,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,market_bias_pool_trend_route,pullback_repair,2330,2330,台積電,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,market_bias_pool_trend_route,pullback_repair,2330,2330,台積電,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,pool_breadth_route,low_risk_strength,2330,2330,台積電,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,pool_breadth_route,low_risk_strength,2330,2330,台積電,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,pool_breadth_route,low_risk_strength,2330,2330,台積電,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1314,1314,中石化,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1314,1314,中石化,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1314,1314,中石化,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-19,2015-01-26,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,1101,台泥,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-16,2015-01-23,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,1101,台泥,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
