scenario,date,held_ticker_before_close,held_ticker_after_close,quantity_after_close,NAV_open,prior_adjusted_mark,current_adjusted_mark,adjustment_factor,adjusted_source_hash,gross_return_from_same_asset,NAV_before_transition_cost,transition_type,transition_cost_rate,NAV_close,net_daily_return,price_status,corporate_action_scale_guard,cross_asset_nominal_price_return_used
C0,2023-07-17,,,,1.0,,,,,0.0,1.0,hold,0.0,1.0,0.0,no_position,event_aware_adjusted_analysis_mark,False
C0,2023-07-18,,2388,0.0079806,1.0,,,,,0.0,1.0,no_position_to_stock,0.002425,0.997575,-0.0024250000000000105,no_position,event_aware_adjusted_analysis_mark,False
C0,2023-07-19,2388,2388,0.0079806,0.997575,124.42535400390624,126.91385650634766,0.9954027961282169,6fc16c35e697b91776bfc6536ae16a4cfe6bba17ae2300151e1ed3e6078075ca,0.019999963209775595,1.0175264632989918,hold,0.0,1.0175264632989918,0.019999963209775373,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-07-20,2388,2388,0.0079806,1.0175264632989918,126.91385650634766,134.37937927246094,0.9954028094256365,6fc16c35e697b91776bfc6536ae16a4cfe6bba17ae2300151e1ed3e6078075ca,0.058823543556411284,1.077380975532661,hold,0.0,1.077380975532661,0.058823543556411284,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-07-21,2388,2388,0.0079806,1.077380975532661,134.37937927246094,147.81732177734375,0.9954028402514731,6fc16c35e697b91776bfc6536ae16a4cfe6bba17ae2300151e1ed3e6078075ca,0.10000003406502356,1.1851191097869356,hold,0.0,1.1851191097869356,0.10000003406502356,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-07-24,2388,2388,0.0079806,1.1851191097869356,147.81732177734375,150.3058319091797,0.9954028603256933,6fc16c35e697b91776bfc6536ae16a4cfe6bba17ae2300151e1ed3e6078075ca,0.016835037341458303,1.2050706342542745,hold,0.0,1.2050706342542745,0.016835037341458303,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-07-25,2388,3515,0.004148191648894078,1.2050706342542745,150.3058319091797,141.8448944091797,0.9954027677837171,6fc16c35e697b91776bfc6536ae16a4cfe6bba17ae2300151e1ed3e6078075ca,-0.056291478464471134,1.1372354265979834,stock_to_stock,0.00785,1.1283081284991892,-0.06369959035852513,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-07-26,3515,3515,0.004148191648894078,1.1283081284991892,246.27459716796875,236.3149871826172,0.9054214068299509,fa257c13b451d27f10de434252b666021e823cce4cacb10c4cb5faf695099041,-0.04044107715485867,1.0826781324200994,hold,0.0,1.0826781324200994,-0.04044107715485856,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-07-27,3515,3515,0.004148191648894078,1.0826781324200994,236.3149871826172,233.5987091064453,0.905421353125757,fa257c13b451d27f10de434252b666021e823cce4cacb10c4cb5faf695099041,-0.01149431150582425,1.0702334927055186,hold,0.0,1.0702334927055186,-0.011494311505824362,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-07-28,3515,3515,0.004148191648894078,1.0702334927055186,233.5987091064453,237.6731109619141,0.905421375093006,fa257c13b451d27f10de434252b666021e823cce4cacb10c4cb5faf695099041,0.017441885150196512,1.0889003823691819,hold,0.0,1.0889003823691819,0.017441885150196512,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-07-31,3515,3515,0.004148191648894078,1.0889003823691819,237.6731109619141,229.0716094970703,0.9054213814113451,fa257c13b451d27f10de434252b666021e823cce4cacb10c4cb5faf695099041,-0.03619046946468474,1.0494925663309664,hold,0.0,1.0494925663309664,-0.03619046946468474,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-08-01,3515,6531,0.0026354931816316165,1.0494925663309664,229.0716094970703,224.091796875,0.9054214015151515,fa257c13b451d27f10de434252b666021e823cce4cacb10c4cb5faf695099041,-0.021739108713661914,1.0266775333373175,stock_to_stock,0.00785,1.0186181147006197,-0.029418456710259555,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-08-02,6531,6531,0.0026354931816316165,1.0186181147006197,368.3553466796875,331.6627502441406,0.9530538800118984,930447e324cfcc60c610f67c826f59c434423e768e5af0eac549006f4f1c6ee9,-0.09961195559203817,0.9171515722938159,hold,0.0,0.9171515722938159,-0.09961195559203817,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-08-04,6531,6531,0.0026354931816316165,0.9171515722938159,331.6627502441406,326.8974914550781,0.9530539109477496,930447e324cfcc60c610f67c826f59c434423e768e5af0eac549006f4f1c6ee9,-0.014367784098620495,0.9039741365173881,hold,0.0,0.9039741365173881,-0.014367784098620495,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-08-07,6531,6531,0.0026354931816316165,0.9039741365173881,326.8974914550781,339.28717041015625,0.953053849466731,930447e324cfcc60c610f67c826f59c434423e768e5af0eac549006f4f1c6ee9,0.03790080768111581,0.9382354864142364,hold,0.0,0.9382354864142364,0.03790080768111581,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-08-08,6531,8210,0.004682634412960723,0.9382354864142364,339.28717041015625,334.5219116210937,0.9530538792623752,930447e324cfcc60c610f67c826f59c434423e768e5af0eac549006f4f1c6ee9,-0.014044912995978986,0.9250580506378084,stock_to_stock,0.00785,0.9177963449403017,-0.021784660428960434,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
