period,selector_candidate_variant,row_count,weekly_snapshot_count,switch_count,switch_rate_proxy,avg_consecutive_hold_snapshots_proxy,median_consecutive_hold_snapshots_proxy,avg_within80_rank,in_31_reference_share,reentry_100_to_80_share
P1,confirmed_challenger_selector,411,411,210,0.5109489051094891,1.9343065693430657,1.0,9.148418491484184,0.9367396593673966,0.6204379562043796
P1,fresh_best_risk_adjusted_top10_baseline,411,411,374,0.9099756690997567,1.0973236009732361,1.0,1.0,1.0,0.1678832116788321
P1,fresh_top1_baseline,411,411,374,0.9099756690997567,1.0973236009732361,1.0,1.0,1.0,0.1678832116788321
P1,high_confidence_bonus_selector,411,411,216,0.5255474452554745,1.7712895377128954,1.0,5.739659367396594,1.0,0.32116788321167883
P1,incumbent_protection_selector,411,411,227,0.5523114355231143,1.6958637469586375,1.0,6.91970802919708,0.9951338199513382,0.6739659367396593
P1,lifecycle_clean_candidate_selector,411,411,236,0.5742092457420924,1.6812652068126521,1.0,6.262773722627737,1.0,0.6204379562043796
P1,reentry_confirmed_selector,411,411,226,0.5498783454987834,1.8345498783454988,1.0,7.068126520681266,0.9975669099756691,0.6739659367396593
P2,confirmed_challenger_selector,51,51,29,0.5686274509803921,1.803921568627451,1.0,10.745098039215685,0.9411764705882353,0.7843137254901961
P2,fresh_best_risk_adjusted_top10_baseline,51,51,45,0.8823529411764706,1.1176470588235294,1.0,1.0,1.0,0.23529411764705882
P2,fresh_top1_baseline,51,51,45,0.8823529411764706,1.1176470588235294,1.0,1.0,1.0,0.23529411764705882
P2,high_confidence_bonus_selector,51,51,31,0.6078431372549019,1.6666666666666667,1.0,4.9411764705882355,1.0,0.27450980392156865
P2,incumbent_protection_selector,51,51,32,0.6274509803921569,1.607843137254902,1.0,8.490196078431373,1.0,0.8823529411764706
P2,lifecycle_clean_candidate_selector,51,51,34,0.6666666666666666,1.5098039215686274,1.0,6.2745098039215685,1.0,0.7647058823529411
P2,reentry_confirmed_selector,51,51,32,0.6274509803921569,1.5686274509803921,1.0,8.156862745098039,1.0,0.9019607843137255
P2|2024_latest,confirmed_challenger_selector,103,103,49,0.47572815533980584,2.174757281553398,2.0,8.398058252427184,0.970873786407767,0.5436893203883495
P2|2024_latest,fresh_best_risk_adjusted_top10_baseline,103,103,93,0.9029126213592233,1.0970873786407767,1.0,1.0,1.0,0.18446601941747573
P2|2024_latest,fresh_top1_baseline,103,103,93,0.9029126213592233,1.0970873786407767,1.0,1.0,1.0,0.18446601941747573
P2|2024_latest,high_confidence_bonus_selector,103,103,59,0.5728155339805825,1.7184466019417475,1.0,5.058252427184466,1.0,0.33980582524271846
P2|2024_latest,incumbent_protection_selector,103,103,56,0.5436893203883495,1.9611650485436893,1.0,7.106796116504855,0.9902912621359223,0.6310679611650486
P2|2024_latest,lifecycle_clean_candidate_selector,103,103,65,0.6310679611650486,1.6796116504854368,1.0,5.281553398058253,1.0,0.5631067961165048
P2|2024_latest,reentry_confirmed_selector,103,103,54,0.5242718446601942,2.1067961165048543,1.0,8.067961165048544,1.0,0.7378640776699029
P2|2024_latest|2026YTD,confirmed_challenger_selector,26,26,21,0.8076923076923077,1.1923076923076923,1.0,5.538461538461538,1.0,0.9230769230769231
P2|2024_latest|2026YTD,fresh_best_risk_adjusted_top10_baseline,26,26,23,0.8846153846153846,1.1153846153846154,1.0,1.0,1.0,0.11538461538461539
P2|2024_latest|2026YTD,fresh_top1_baseline,26,26,23,0.8846153846153846,1.1153846153846154,1.0,1.0,1.0,0.11538461538461539
P2|2024_latest|2026YTD,high_confidence_bonus_selector,26,26,19,0.7307692307692307,1.3076923076923077,1.0,2.0,1.0,0.34615384615384615
P2|2024_latest|2026YTD,incumbent_protection_selector,26,26,21,0.8076923076923077,1.1923076923076923,1.0,5.538461538461538,1.0,0.9230769230769231
P2|2024_latest|2026YTD,lifecycle_clean_candidate_selector,26,26,20,0.7692307692307693,1.2307692307692308,1.0,3.0384615384615383,1.0,0.46153846153846156
P2|2024_latest|2026YTD,reentry_confirmed_selector,26,26,23,0.8846153846153846,1.1153846153846154,1.0,6.615384615384615,1.0,0.9615384615384616
outside_requested_periods,confirmed_challenger_selector,1,1,0,0.0,2.0,2.0,7.0,1.0,1.0
outside_requested_periods,fresh_best_risk_adjusted_top10_baseline,1,1,0,0.0,2.0,2.0,1.0,1.0,0.0
outside_requested_periods,fresh_top1_baseline,1,1,0,0.0,2.0,2.0,1.0,1.0,0.0
outside_requested_periods,high_confidence_bonus_selector,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0
outside_requested_periods,incumbent_protection_selector,1,1,1,1.0,1.0,1.0,7.0,1.0,1.0
outside_requested_periods,lifecycle_clean_candidate_selector,1,1,1,1.0,1.0,1.0,7.0,1.0,1.0
outside_requested_periods,reentry_confirmed_selector,1,1,1,1.0,1.0,1.0,9.0,1.0,1.0
