signal_date,candidate_rank,ticker,candidate_available,consensus_count,route_count,candidate_score,route_source_flags,variant_source_flags,route_row_count,rank_source,route_source_policy,c2_market_health_gate,raw_consensus4_exception_active,exception_allowed_by_c2,prior_single_exception_ticker,prior_c2_allowed_exception_ticker,top1_matches_prior_single_exception,top1_matches_prior_c2_allowed_exception,entry_date,exit_date,entry_open,entry_close,exit_close,gross_return_unadjusted,representative_net_return_local_ep05_cost_unit_notional,official_unadjusted_ohlc_path_ready,adjusted_close_ready,source_quality,entry_source_route,exit_source_route,entry_adjustment_policy,exit_adjustment_policy,total_cost_twd,cost_application_status,adjustment_policy,candidate_contract_policy,future_data_violation_count,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,1,2330,True,4.0,2.0,402.0,low_risk_strength|pullback_repair,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,4.0,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker,source variants: hybrid_pullback_base_mega_override|conservative_hurdle_route|pool_breadth_route|market_bias_pool_trend_route|dispersion_route,False,True,False,2330,,True,False,2015-01-12,2015-01-19,132.5,132.0,139.0,0.0530303030303029,0.0468788854767433,True,False,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,6084.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,exact_consensus4_route_candidates_not_layer4_proxy_top5,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-09,2,,False,,,,,,,shortfall_slot_explicit_no_proxy_fill,no candidate: do not backfill with Layer4 generic top5,False,True,False,2330,,,,,,,,,,,False,False,,,,,,,,not_applicable_shortfall_slot,shortfall_no_additional_consensus4_candidate,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-09,3,,False,,,,,,,shortfall_slot_explicit_no_proxy_fill,no candidate: do not backfill with Layer4 generic top5,False,True,False,2330,,,,,,,,,,,False,False,,,,,,,,not_applicable_shortfall_slot,shortfall_no_additional_consensus4_candidate,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-09,4,,False,,,,,,,shortfall_slot_explicit_no_proxy_fill,no candidate: do not backfill with Layer4 generic top5,False,True,False,2330,,,,,,,,,,,False,False,,,,,,,,not_applicable_shortfall_slot,shortfall_no_additional_consensus4_candidate,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-09,5,,False,,,,,,,shortfall_slot_explicit_no_proxy_fill,no candidate: do not backfill with Layer4 generic top5,False,True,False,2330,,,,,,,,,,,False,False,,,,,,,,not_applicable_shortfall_slot,shortfall_no_additional_consensus4_candidate,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-16,1,2330,True,4.0,2.0,402.0,low_risk_strength|pullback_repair,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,4.0,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker,source variants: hybrid_pullback_base_mega_override|conservative_hurdle_route|pool_breadth_route|market_bias_pool_trend_route|dispersion_route,False,True,False,2330,,True,False,2015-01-19,2015-01-26,138.5,139.0,145.0,0.0431654676258992,0.0370724322467447,True,False,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,6040.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,exact_consensus4_route_candidates_not_layer4_proxy_top5,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-16,2,,False,,,,,,,shortfall_slot_explicit_no_proxy_fill,no candidate: do not backfill with Layer4 generic top5,False,True,False,2330,,,,,,,,,,,False,False,,,,,,,,not_applicable_shortfall_slot,shortfall_no_additional_consensus4_candidate,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-16,3,,False,,,,,,,shortfall_slot_explicit_no_proxy_fill,no candidate: do not backfill with Layer4 generic top5,False,True,False,2330,,,,,,,,,,,False,False,,,,,,,,not_applicable_shortfall_slot,shortfall_no_additional_consensus4_candidate,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-16,4,,False,,,,,,,shortfall_slot_explicit_no_proxy_fill,no candidate: do not backfill with Layer4 generic top5,False,True,False,2330,,,,,,,,,,,False,False,,,,,,,,not_applicable_shortfall_slot,shortfall_no_additional_consensus4_candidate,0.0,True,False,False,False,False,False,False,False,True,False
2015-01-16,5,,False,,,,,,,shortfall_slot_explicit_no_proxy_fill,no candidate: do not backfill with Layer4 generic top5,False,True,False,2330,,,,,,,,,,,False,False,,,,,,,,not_applicable_shortfall_slot,shortfall_no_additional_consensus4_candidate,0.0,True,False,False,False,False,False,False,False,True,False
