profile,block,weight_pct,field_weight_policy
balanced,A,20,equal_available_applicable
balanced,B,20,equal_available_applicable
balanced,C,20,equal_available_applicable
balanced,D,15,equal_available_applicable
balanced,E,15,equal_available_applicable
balanced,F,10,equal_available_applicable
trend_capital,A,20,equal_available_applicable
trend_capital,B,25,equal_available_applicable
trend_capital,C,25,equal_available_applicable
trend_capital,D,15,equal_available_applicable
trend_capital,E,10,equal_available_applicable
trend_capital,F,5,equal_available_applicable
risk_quality,A,15,equal_available_applicable
risk_quality,B,20,equal_available_applicable
risk_quality,C,20,equal_available_applicable
risk_quality,D,20,equal_available_applicable
risk_quality,E,15,equal_available_applicable
risk_quality,F,10,equal_available_applicable
