market_field,local_source,status,can_substitute
0050_adjusted_HLC,backtest_cache/stock_pool_observations/0050_TW.csv,ready,False
TAIEX,backtest_cache/taiex_yfinance/^TWII.csv,ready_trusted_nonofficial,False
primary80_breadth,daily candidate adjusted features,blocked_until_daily_technical_compute,False
full_market_traded_value,,source_missing,False
full_market_margin_balance,,source_missing,False
TAIFEX_foreign_OI,Radar P3 taifex compact,ready,False
Nasdaq,Radar P3 global_market compact,ready,False
SOX,,source_missing,False
VIX,Radar P3 global_market compact,ready,False
USD_TWD,Radar P3 global_market compact,ready,False
