field,status,blocked_reason,policy,next_owner,signal_date,entry_date,exit_date,ticker,name
route_support_bonus,partial_proxy,route_support is available only when candidate/date appears in prior route_support audit; otherwise neutral component is used,score component source_quality labels neutral/unavailable; not formal,Experiments can test proxy; Core can later expand candidate-level route_support if needed,,,,,
selected_stock_adjusted_close,blocked,selected-stock adjusted close remains unavailable,official unadjusted OHLC diagnostic only,Strategy Center source policy / Radar adjusted source route,,,,,
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-02-06,2015-02-09,2015-02-24,2325,矽品
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-02-13,2015-02-24,2015-03-04,2325,矽品
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-02-26,2015-03-02,2015-03-09,2325,矽品
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-03-06,2015-03-09,2015-03-16,9914,美利達
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-03-27,2015-03-30,2015-04-08,6269,台郡
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-04-02,2015-04-07,2015-04-14,6269,台郡
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-04-10,2015-04-13,2015-04-20,6269,台郡
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-04-17,2015-04-20,2015-04-27,2354,鴻準
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-04-30,2015-05-04,2015-05-11,2823,中壽
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-05-08,2015-05-11,2015-05-18,1590,亞德客-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-05-15,2015-05-18,2015-05-25,1590,亞德客-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-05-22,2015-05-25,2015-06-01,6116,彩晶
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-05-29,2015-06-01,2015-06-08,3706,神達
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-06-05,2015-06-08,2015-06-15,1227,佳格
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-06-12,2015-06-15,2015-06-23,2454,聯發科
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-06-26,2015-06-29,2015-07-06,2059,川湖
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-07-03,2015-07-06,2015-07-13,2474,可成
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-07-09,2015-07-10,2015-07-17,6121,新普
