score_variant,transition_action,from_asset_type,to_asset_type,transition_count,transition_cost_rate,total_transition_cost_twd_sum,cost_model_status,cost_model_version
baseline_route_support,00631L_to_stock_exception,etf,stock,20,0.00385,77000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
baseline_route_support,stock_exception_to_00631L_base,stock,etf,20,0.00585,117000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
baseline_route_support,stock_to_stock_exception_switch,stock,stock,1,0.00585,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_balanced,00631L_to_stock_exception,etf,stock,20,0.00385,77000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_balanced,stock_exception_to_00631L_base,stock,etf,20,0.00585,117000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_balanced,stock_to_stock_exception_switch,stock,stock,1,0.00585,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_pullback_reacceleration,00631L_to_stock_exception,etf,stock,20,0.00385,77000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_pullback_reacceleration,stock_exception_to_00631L_base,stock,etf,20,0.00585,117000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_pullback_reacceleration,stock_to_stock_exception_switch,stock,stock,1,0.00585,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_quality,00631L_to_stock_exception,etf,stock,20,0.00385,77000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_quality,stock_exception_to_00631L_base,stock,etf,20,0.00585,117000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_quality,stock_to_stock_exception_switch,stock,stock,1,0.00585,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_risk_aware,00631L_to_stock_exception,etf,stock,20,0.00385,77000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_risk_aware,stock_exception_to_00631L_base,stock,etf,20,0.00585,117000,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
low_base_risk_aware,stock_to_stock_exception_switch,stock,stock,1,0.00585,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1
