signal_date,score_variant,integrated_rank,ticker,name,market,integrated_score,route_support_base_score,low_base_score,price_position_low_base,stock_specific_bias_score,recent_runup_penalty,recent_runup_inverse,improving_rs_score,liquidity_improvement,quality_support,overheat_veto_flag,overheat_inverse,quality_component,rs_component,liquidity_component,bias_health_component,route_support_component,risk_inverse_component,pool_persistence_component_proxy,route_support_variant_count,route_support_variant_flags,route_support_mode_flags,layer1_quality_floor_risk_pctile_by_week,layer1_pass_bottom30,RS20,RS40,RS60,RS30_proxy,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,BIAS20,BIAS60,BIAS120,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,volatility_pctile_by_week,exhaustion_risk_score,breakdown_risk_score,low_base_component_source_quality
2015-01-30,baseline_route_support,1,2603,長榮,TWSE,0.6966148551220627,0.6966148551220627,0.5383523460366351,0.06285714285714286,0.856,0.30395277207392196,0.6960472279260781,0.50625,0.5962500000000001,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.759375,0.7095596623317362,0.8,0.6741250000000001,1.0,4.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,low_risk_strength|pullback_repair,0.5017361111111112,True,,,,,26.0,27.0,27.0,-0.0366627244382325,,,0.0643394934976043,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,2,2317,鴻海,TWSE,0.4344485021674652,0.4344485021674652,0.5252012936752387,0.06285714285714286,0.856,0.5697638603696099,0.4302361396303901,0.50625,0.7681250000000001,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.9906250000000001,0.8966461327857632,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,2.0,2.0,2.0,0.0067347886669762,,,0.6550308008213552,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,3,2454,聯發科,TWSE,0.4327352777777778,0.4327352777777778,0.5445057341269841,0.06285714285714286,0.856,0.425,0.575,0.50625,0.76125,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.98125,0.8888888888888888,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,3.0,3.0,3.0,-0.0091291414504051,,,0.3333333333333333,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,4,2882,國泰金,TWSE,0.42781277891854896,0.42781277891854896,0.5192586602050129,0.06285714285714286,0.856,0.5090862422997946,0.4909137577002054,0.50625,0.665,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.8343750000000001,0.9865389002966006,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,22.0,17.0,17.0,-0.0001098780353807,,,0.5201916495550992,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,5,2357,華碩,TWSE,0.4241000678758841,0.4241000678758841,0.5159798357696946,0.06285714285714286,0.856,0.5531314168377823,0.44686858316221767,0.50625,0.685625,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.8625,0.921286789869952,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,19.0,14.0,14.0,0.0043800030206917,,,0.6180698151950719,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,6,2881,富邦金,TWSE,0.4190018902578143,0.4190018902578143,0.5088542454206186,0.06285714285714286,0.856,0.5559034907597536,0.44409650924024635,0.50625,0.6375000000000001,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.815625,0.917180013689254,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,20.0,21.0,21.0,0.0046437309631995,,,0.6242299794661191,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,7,3474,華亞科,TWSE,0.4140389681724846,0.4140389681724846,0.5522398717039863,0.06285714285714286,0.856,0.35600616016427106,0.643993839835729,0.50625,0.7474999999999999,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.9624999999999999,0.786675792835957,0.0,0.619125,1.0,0.0,,,0.5017361111111112,True,,,,,5.0,5.0,5.0,-0.0199291642438019,,,0.1800136892539356,,,,0.1435,0.7799999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,8,2618,長榮航,TWSE,0.41168576830937714,0.41168576830937714,0.5042264476793455,0.06285714285714286,0.856,0.5820841889117043,0.4179158110882957,0.50625,0.6306250000000001,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.78125,0.8783937942048826,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,29.0,22.0,22.0,0.0083333333333333,,,0.6824093086926762,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,9,3105,穩懋,TPEx,0.411564133584303,0.411564133584303,0.5048333778641504,0.06285714285714286,0.856,0.5364989733059549,0.46350102669404514,0.50625,0.589375,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.7125,0.945927446954141,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,39.0,28.0,28.0,0.0027100271002708,,,0.5811088295687885,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,10,2891,中信金,TWSE,0.4089327310061602,0.4089327310061602,0.5236757033261628,0.06285714285714286,0.856,0.42253593429158115,0.5774640657084189,0.50625,0.61,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.746875,0.8852384211727128,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,34.0,25.0,25.0,-0.0093642188270082,,,0.3278576317590691,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2015-01-30,baseline_route_support,11,2324,仁寶,TWSE,0.40633184405658224,0.40633184405658224,0.4948357392604543,0.06285714285714286,0.856,0.5254106776180698,0.4745893223819302,0.50625,0.506875,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.64375,0.9623545516769335,0.0,0.6741250000000001,1.0,0.0,,,0.5017361111111112,True,,,,,37.0,40.0,40.0,0.0014058613604411,,,0.5564681724845996,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
