ticker,name,market,recent_5d_traded_value,observed_days,eligible_for_layer0_estimate,is_ky_name,recent_5d_traded_value_share,traded_value_rank,cumulative_traded_value_share,source_quality,diagnostic_only
2330,台積電,TWSE,519001328759,5,True,False,0.07355181335806925,1,0.07355181335806925,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2327,國巨*,TWSE,301737809163,5,True,False,0.042761668983963726,2,0.11631348234203298,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2454,聯發科,TWSE,291736724605,5,True,False,0.041344335609216507,3,0.1576578179512495,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2408,南亞科,TWSE,221085898033,5,True,False,0.03133184407659834,4,0.18898966202784784,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3037,欣興,TWSE,207719634328,5,True,False,0.029437604353406022,5,0.21842726638125387,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2303,聯電,TWSE,206381370381,5,True,False,0.02924794830707385,6,0.2476752146883277,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2344,華邦電,TWSE,205296528345,5,True,False,0.02909420669884781,7,0.27676942138717553,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3481,群創,TWSE,196449343377,5,True,False,0.027840401628508926,8,0.30460982301568446,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3189,景碩,TWSE,164446044396,5,True,False,0.02330495914877292,9,0.32791478216445735,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2308,台達電,TWSE,144860578141,5,True,False,0.020529346681723834,10,0.3484441288461812,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
4958,臻鼎-KY,TWSE,120080940234,5,True,True,0.01701762676614241,11,0.36546175561232364,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
8046,南電,TWSE,110387681235,5,True,False,0.015643917803911726,12,0.38110567341623536,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2409,友達,TWSE,96969151680,5,True,False,0.013742271070696147,13,0.3948479444869315,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3711,日月光投控,TWSE,91991279444,5,True,False,0.013036817135735991,14,0.4078847616226675,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6770,力積電,TWSE,91922483971,5,True,False,0.013027067581140292,15,0.4209118292038078,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2337,旺宏,TWSE,90588076404,5,True,False,0.012837958053143006,16,0.43374978725695085,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2317,鴻海,TWSE,78593710963,5,True,False,0.01113814096332094,17,0.4448879282202718,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3008,大立光,TWSE,71082676315,5,True,False,0.01007369240039208,18,0.45496162062066386,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3017,奇鋐,TWSE,62298152250,5,True,False,0.008828767505857994,19,0.46379038812652185,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2449,京元電子,TWSE,55722940111,5,True,False,0.007896941806694882,20,0.4716873299332167,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6669,緯穎,TWSE,53687042090,5,True,False,0.007608418477448863,21,0.4792957484106656,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3443,創意,TWSE,52377428765,5,True,False,0.007422822739029532,22,0.48671857114969513,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3661,世芯-KY,TWSE,52064121055,5,True,True,0.007378421407216633,23,0.49409699255691175,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2345,智邦,TWSE,51321961272,5,True,False,0.007273244031328971,24,0.5013702365882408,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
8299,群聯,TPEx,48380465795,5,True,False,0.006856381271391081,25,0.5082266178596319,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6182,合晶,TPEx,45712758247,5,True,False,0.006478319180233081,26,0.514704937039865,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3105,穩懋,TPEx,45550955988,5,True,False,0.00645538889297671,27,0.5211603259328417,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6274,台燿,TPEx,43916899885,5,True,False,0.006223813783541336,28,0.527384139716383,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6239,力成,TWSE,42860892939,5,True,False,0.0060741586256581395,29,0.5334582983420412,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6213,聯茂,TWSE,40985545220,5,True,False,0.005808388158867255,30,0.5392666865009085,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2472,立隆電,TWSE,40669797824,5,True,False,0.00576364107971349,31,0.545030327580622,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
5347,世界,TPEx,40207414586,5,True,False,0.005698113067092413,32,0.5507284406477144,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6147,頎邦,TPEx,37008901020,5,True,False,0.0052448262260120365,33,0.5559732668737265,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2882,國泰金,TWSE,36956314899,5,True,False,0.005237373827833664,34,0.5612106407015601,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
8150,南茂,TWSE,36908465481,5,True,False,0.00523059270557634,35,0.5664412334071365,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2881,富邦金,TWSE,35994739784,5,True,False,0.005101101357091907,36,0.5715423347642283,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6139,亞翔,TWSE,35835594912,5,True,False,0.005078547669319609,37,0.5766208824335479,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6271,同欣電,TWSE,35233914365,5,True,False,0.004993278725211232,38,0.5816141611587592,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
5483,中美晶,TPEx,34878262729,5,True,False,0.00494287649827645,39,0.5865570376570356,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
8358,金居,TPEx,33905641894,5,True,False,0.0048050386505484955,40,0.5913620763075841,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2313,華通,TWSE,33737039362,5,True,False,0.004781144642425213,41,0.5961432209500093,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
6223,旺矽,TPEx,33735060940,5,True,False,0.004780864264480834,42,0.6009240852144901,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
1802,台玻,TWSE,32570882265,5,True,False,0.004615879229040191,43,0.6055399644435303,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
1303,南亞,TWSE,32206597619,5,True,False,0.004564253549476191,44,0.6101042179930065,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2368,金像電,TWSE,31539361380,5,True,False,0.004469694185950058,45,0.6145739121789566,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3042,晶技,TWSE,31186226335,5,True,False,0.004419648605176422,46,0.618993560784133,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
5289,宜鼎,TPEx,30730106675,5,True,False,0.0043550082540977746,47,0.6233485690382308,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2383,台光電,TWSE,29980842250,5,True,False,0.0042488240227872,48,0.6275973930610179,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
5274,信驊,TPEx,28565722858,5,True,False,0.004048276179010676,49,0.6316456692400286,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2379,瑞昱,TWSE,27334954638,5,True,False,0.003873854208606591,50,0.6355195234486353,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2404,漢唐,TWSE,27287691580,5,True,False,0.0038671561840965965,51,0.6393866796327319,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
1815,富喬,TPEx,26479566848,5,True,False,0.003752630389721021,52,0.643139310022453,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2357,華碩,TWSE,26414772352,5,True,False,0.003743447845453133,53,0.646882757867906,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
7769,鴻勁,TWSE,24938448935,5,True,False,0.003534226291660631,54,0.6504169841595667,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2360,致茂,TWSE,24556345580,5,True,False,0.0034800753808765426,55,0.6538970595404433,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2382,廣達,TWSE,24390981922,5,True,False,0.003456640379393008,56,0.6573536999198363,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
8261,富鼎,TWSE,23970749863,5,True,False,0.003397085946180761,57,0.660750785866017,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
3231,緯創,TWSE,23931868990,5,True,False,0.0033915758278908275,58,0.6641423616939078,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
2301,光寶科,TWSE,23499351393,5,True,False,0.0033302803132055523,59,0.6674726420071134,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
8033,雷虎,TWSE,23310587074,5,True,False,0.003303529017610704,60,0.6707761710247241,exact_recent_daily_traded_value_pit_from_local_daily_market_features,True
