rule_family,threshold,included_count,recent_5d_cumulative_traded_value_share,future_winner_miss_risk,source_quality,diagnostic_only
traded_value_rank,top_50,50,0.6355195234486353,high_for_future_winner_miss_risk,exact_recent_traded_value_estimate_not_formal,True
traded_value_rank,top_100,100,0.7647642339889265,high_for_future_winner_miss_risk,exact_recent_traded_value_estimate_not_formal,True
traded_value_rank,top_200,200,0.882306445943342,medium_high_needs_surge_buffer,exact_recent_traded_value_estimate_not_formal,True
traded_value_rank,top_300,300,0.9337730903071733,medium_with_hybrid_buffer,exact_recent_traded_value_estimate_not_formal,True
traded_value_rank,top_500,500,0.9747790562891838,lower_but_data_cost_higher,exact_recent_traded_value_estimate_not_formal,True
traded_value_rank,cum_share_60pct,42,0.6,high_for_future_winner_miss_risk,exact_recent_traded_value_estimate_not_formal,True
traded_value_rank,cum_share_70pct,70,0.7,high_for_future_winner_miss_risk,exact_recent_traded_value_estimate_not_formal,True
traded_value_rank,cum_share_80pct,123,0.8,medium_high_needs_surge_buffer,exact_recent_traded_value_estimate_not_formal,True
traded_value_rank,cum_share_90pct,226,0.9,medium_with_hybrid_buffer,exact_recent_traded_value_estimate_not_formal,True
market_cap_rank,cum_turnover_share_by_market_cap_rank,,,unknown_until_full_daily_market_cap_or_accepted_proxy,blocked_or_proxy_full_exact_daily_market_cap_unavailable,True
hybrid,market_cap_top_bucket_OR_traded_value_top_bucket_OR_turnover_surge_exception_plus_buffer,design_target_200_to_500,,lower_than_market_cap_only_because_high_turnover_mid_caps_and_surge_exceptions_retained,contract_design_ready_needs_market_cap_proxy_policy,True
