field,category,requested_date,actual_latest_date,requested_date_ready,path
official_ohlcv_full_sweep,source_anchor,2026-07-08,2026-07-02,False,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\accepted_liquidity_shard_manifest.csv
official_ohlcv_pit_daily_sample,source_anchor,2026-07-08,2026-07-02,False,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_pit_daily_20260703\accepted_liquidity_rows.csv
layer4_primary80_snapshot,vnext_materialized_contract,2026-07-08,2026-06-29,False,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv
0050_market_regime_fields,vnext_materialized_contract,2026-07-08,2026-06-30,False,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_regime_switch_hybrid_route_market_fields_path_materialization_20260708\regime_switch_market_regime_fields.csv
dynamic80_pool_regime_fields,vnext_materialized_contract,2026-07-08,2026-06-29,False,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_regime_switch_hybrid_route_market_fields_path_materialization_20260708\regime_switch_pool_regime_fields.csv
exact_consensus_trigger,vnext_materialized_contract,2026-07-08,2026-06-29,False,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_full_period_exact_consensus_trigger_contract_20260708\full_period_exact_consensus_trigger_contract.csv
route_support_max1_state_machine,vnext_materialized_contract,2026-07-08,2026-06-29,False,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_route_support_max1_full_period_same_basis_contract_20260708\route_support_max1_full_period_same_basis_modelization_contract.csv
