variant_id,period,execution_requirement_rows,official_raw_ready_rows,execution_blocker_rows,official_no_trade_deferred_rows,exact_path_ready
crash_dd20,P1,69,66,3,0,False
crash_dd20,P2,81,81,0,0,True
current_score,P1,21,18,3,0,False
current_score,P2,87,87,0,0,True
strict_no_bear_baseline,P1,57,57,0,0,True
strict_no_bear_baseline,P2,81,81,0,0,True
trend_dd10,P1,21,18,3,0,False
trend_dd10,P2,87,87,0,0,True
