variant_id,period,execution_date,prior_ticker,target_ticker,action,action_reason,state,state_decision_week,transition_cost,slippage_bp_per_side,official_raw_all_legs_ready,execution_status
strict_no_bear_baseline,P1,2015-06-08,,00631L,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2015-06-05,1925.0,5,True,executed
strict_no_bear_baseline,P1,2019-12-23,00631L,6669,atomic_switch,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2019-12-20,13790.563646831028,5,True,executed
strict_no_bear_baseline,P1,2020-03-04,6669,,exit_to_cash,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2020-02-28,15643.347292302527,5,True,executed
strict_no_bear_baseline,P1,2020-03-06,,2454,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2020-02-28,6084.291335687163,5,True,executed
strict_no_bear_baseline,P1,2020-03-09,2454,00631L,atomic_switch,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2020-03-06,20894.866397695863,5,True,executed
strict_no_bear_baseline,P1,2020-07-13,00631L,3231,atomic_switch,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2020-07-10,19045.19458293641,5,True,executed
strict_no_bear_baseline,P1,2020-07-28,3231,,exit_to_cash,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2020-07-24,18733.154141483014,5,True,executed
strict_no_bear_baseline,P1,2020-07-29,,2330,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2020-07-24,7286.034459466437,5,True,executed
strict_no_bear_baseline,P1,2020-08-24,2330,00631L,atomic_switch,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2020-08-21,26208.61786519658,5,True,executed
strict_no_bear_baseline,P1,2021-04-12,00631L,2382,atomic_switch,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2021-04-09,34656.97304007177,5,True,executed
strict_no_bear_baseline,P1,2021-04-29,2382,,exit_to_cash,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2021-04-23,35423.11566645004,5,True,executed
strict_no_bear_baseline,P1,2021-05-03,,2454,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2021-04-30,13777.393783137277,5,True,executed
strict_no_bear_baseline,P1,2021-05-18,2454,,exit_to_cash,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2021-05-14,31646.80272866,5,True,executed
strict_no_bear_baseline,P1,2021-05-24,,00631L,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2021-05-21,12308.642392599206,5,True,executed
current_score,P1,2015-06-08,,00631L,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2015-06-05,1925.0,5,True,executed
current_score,P1,2015-08-24,00631L,,exit_to_cash,weekly_state_fixed_bear_cash_or_fixed7_target_change,確認空頭,2015-08-21,2241.119478726152,5,True,executed
current_score,P1,2015-10-19,,00631L,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2015-10-16,1470.6106301480138,5,True,executed
current_score,P1,2016-01-25,00631L,,blocked_no_transition,official_raw_execution_close_missing_atomic_transition_not_applied,確認空頭,2016-01-22,0.0,5,False,blocked_missing_official_raw_execution_close
trend_dd10,P1,2015-06-08,,00631L,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2015-06-05,1925.0,5,True,executed
trend_dd10,P1,2015-08-24,00631L,,exit_to_cash,weekly_state_fixed_bear_cash_or_fixed7_target_change,確認空頭,2015-08-21,2241.119478726152,5,True,executed
trend_dd10,P1,2015-11-02,,00631L,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2015-10-30,1470.6106301480138,5,True,executed
trend_dd10,P1,2016-01-25,00631L,,blocked_no_transition,official_raw_execution_close_missing_atomic_transition_not_applied,確認空頭,2016-01-22,0.0,5,False,blocked_missing_official_raw_execution_close
crash_dd20,P1,2015-06-08,,00631L,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,大盤擴散行情,2015-06-05,1925.0,5,True,executed
crash_dd20,P1,2019-12-23,00631L,6669,atomic_switch,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2019-12-20,13790.563646831028,5,True,executed
crash_dd20,P1,2020-03-04,6669,,exit_to_cash,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2020-02-28,15643.347292302527,5,True,executed
crash_dd20,P1,2020-03-06,,2454,entry,weekly_state_fixed_bear_cash_or_fixed7_target_change,AI集中行情,2020-02-28,6084.291335687163,5,True,executed
