variant_id,period,decision_date,actual_execution_date,role,ticker,action,target_strategy,prior_ticker_before_virtual_transition,target_ticker_after_virtual_transition,official_raw_close,official_market,official_source_quality,official_source_hash,official_raw_ready,official_no_trade_ready,official_no_trade_classification,requirement_discovery_policy
strict_no_bear_baseline,P1,2015-06-05,2015-06-08,buy,00631L,entry,00631L_buyhold,,00631L,21.85,TWSE,official_twse_stock_day_backfill_201411_201512,0d25abda9845282c8e77e5dc7e276a9f2a2ed2873a01ea5083290c4138590d07,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2019-12-20,2019-12-23,sell,00631L,atomic_switch,fixed7_S10_CD10,00631L,6669,53.65,TWSE,official_twse_selected_ticker_month_close_only,9bbd9dfa4ebce5a18417c222c647953a895b599b2a87c4b437867c8860510f99,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2019-12-20,2019-12-23,buy,6669,atomic_switch,fixed7_S10_CD10,00631L,6669,627.0,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,6a60e42214faa6e242113cd7f4ca022d9662c62c70acf53d12aa5ab7a43c21e4,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2020-02-28,2020-03-04,sell,6669,exit_to_cash,fixed7_S10_CD10,6669,,703.0,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,f19610a9b70b405b315ebea03c3009e6876cf1b5c7998776127a34cf063d59e5,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2020-02-28,2020-03-06,buy,2454,entry,fixed7_S10_CD10,,2454,378.5,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,e2533de243b2639af981084a01e0c79f5c3844197911c6d468e0c157a4cdce28,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2020-03-06,2020-03-09,sell,2454,atomic_switch,00631L_buyhold,2454,00631L,366.5,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,525cff27f800a72f3ce89df3e16cfddcc178edebdae2c49063aff3f75c0b0149,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2020-03-06,2020-03-09,buy,00631L,atomic_switch,00631L_buyhold,2454,00631L,44.37,TWSE,official_twse_selected_ticker_month_close_only,be9327b13cd210dfbda2f075cccc12f3397df091bacb99022b169cb4692e40c6,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2020-07-10,2020-07-13,sell,00631L,atomic_switch,fixed7_S10_CD10,00631L,3231,57.5,TWSE,official_twse_selected_ticker_month_close_only,412b8ca361802df16e49d125f0e3606c484f5999f29b3c0e8146547ae8930141,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2020-07-10,2020-07-13,buy,3231,atomic_switch,fixed7_S10_CD10,00631L,3231,34.2,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,b638c9ca4a88bd011bb98a7cc782d0ddcfb6419cb1b9cfd110da104a748ddf06,True,False,,path_independent_virtual_transition_for_source_authority_only
strict_no_bear_baseline,P1,2020-07-24,2020-07-28,sell,3231,exit_to_cash,fixed7_S10_CD10,3231,,33.25,TWSE,official_unadjusted_ohlcv_twse_mi_index_bulk,14473cc255fc4ad8355f3d88fe7a661d8fc0b9f26268395ad2ef9736e7326e48,True,False,,path_independent_virtual_transition_for_source_authority_only
