P3_segment,horizon_td,requested_events,ready_events,terminal_events,blocked_events,ready_share
P3-1_TDCC_unavailable,5,103,98,0,5,0.9514563106796117
P3-1_TDCC_unavailable,10,103,98,0,5,0.9514563106796117
P3-1_TDCC_unavailable,20,103,97,0,6,0.941747572815534
P3-1_TDCC_unavailable,40,103,96,0,7,0.9320388349514563
P3-2_TDCC_optional,5,51,44,1,6,0.8627450980392157
P3-2_TDCC_optional,10,51,42,3,6,0.8235294117647058
P3-2_TDCC_optional,20,51,39,4,8,0.7647058823529411
P3-2_TDCC_optional,40,51,33,8,10,0.6470588235294118
