snapshot_date,ticker,name,market,layer1_pass_bottom30,layer1_quality_floor_risk_pctile_by_week,name_revenue,market_revenue,asof_date,latest_revenue_year_month,monthly_revenue_yoy,trailing_3m_revenue_yoy,quarterly_revenue_yoy,quarterly_revenue_source_quality,ttm_revenue,ttm_revenue_yoy,3y_revenue_cagr,3y_revenue_trend_score,5y_revenue_cagr,5y_revenue_trend_score,revenue_stability_score,revenue_lumpiness_score,recent_spike_without_long_history_flag,project_based_revenue_risk_proxy,revenue_month_count_available,revenue_3y_month_count_available,revenue_5y_month_count_available,data_coverage,missingness,pit_asof_audit,source_quality,feature_scope,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,quarterly_margin_profitability_source_quality,project_based_revenue_risk_proxy_source_quality
2026-06-29,2454,聯發科,TWSE,True,0.3902027027027027,聯發科,TWSE,2026-06-29,2026-05,0.049881336042878255,0.04974857930814869,0.04974857930814869,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,592039860000.0,0.05684440249729006,0.027866622689576515,0.7666666666666666,0.13092474067897486,0.8599999999999999,0.6251979134451998,0.09277371827730127,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2890,永豐金,TWSE,True,0.3902027027027027,永豐金,TWSE,2026-06-29,2026-05,0.8269197880820118,0.7313032545715683,0.7313032545715683,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,90806701000.0,0.35860108467014995,0.16358601798570693,1.0,0.1378184458492231,1.0,0.7539991686407717,0.136057739040017,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2610,華航,TWSE,True,0.3902027027027027,華航,TWSE,2026-06-29,2026-05,0.2773159272800261,0.21261184554940238,0.21261184554940238,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,220962615000.0,0.0535781340075161,0.11528658858608609,1.0,0.12607924491071754,1.0,0.6670486211812654,0.08056941182853193,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2301,光寶科,TWSE,True,0.3902027027027027,光寶科,TWSE,2026-06-29,2026-05,0.2955678896812044,0.2584068113098712,0.2584068113098712,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,180325231000.0,0.20199582443883113,-0.014399968417754372,0.5205590891494374,0.011180117835157377,0.7072257558161041,0.6655474706117089,0.09577980456992242,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2801,彰銀,TWSE,True,0.3902027027027027,彰銀,TWSE,2026-06-29,2026-05,0.24592717387788632,0.18762089610858168,0.18762089610858168,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,48186640000.0,0.1249197105231985,0.09896312258766704,1.0,0.10648860098671364,1.0,0.6802071709396654,0.08721871324459766,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,6223,旺矽,TPEx,True,0.3902027027027027,旺矽,TPEx,2026-06-29,2026-05,0.5781298997442514,0.5017936242327397,0.5017936242327397,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,15691557000.0,0.35408338600128886,0.2160266026447586,1.0,0.17685914657648616,1.0,0.7618246413671105,0.13669458990620403,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,1216,統一,TWSE,True,0.3902027027027027,統一,TWSE,2026-06-29,2026-05,0.02698137955165314,0.02515048509185136,0.02515048509185136,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,681440257000.0,0.009778806956984631,0.0864740927114076,1.0,0.08509293692693065,1.0,0.6401887402085296,0.07842291408089919,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,5289,宜鼎,TPEx,True,0.3902027027027027,宜鼎,TPEx,2026-06-29,2026-05,6.408022445611991,5.708210903572073,5.708210903572073,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,37062879000.0,2.7379234412526983,0.11445246559850863,0.7666666666666666,0.1480105951422528,0.8599999999999999,0.5342636094546446,0.4313106658413036,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2882,國泰金,TWSE,True,0.3902027027027027,國泰金,TWSE,2026-06-29,2026-05,0.2884480604361028,0.29802303078226045,0.29802303078226045,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,344992989000.0,0.042189142057115436,0.0069109777375830905,0.5230650420117308,-0.1111131348048956,0.30647679212752155,0.5290272560112503,0.165232387159237,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,3406,玉晶光,TWSE,True,0.3902027027027027,玉晶光,TWSE,2026-06-29,2026-05,0.3024004976417187,0.22195652391384812,0.22195652391384812,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,26643857000.0,0.16142266234427738,0.09141235148192717,1.0,0.0946891014060689,1.0,0.651015163170765,0.12661095783713447,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2834,臺企銀,TWSE,True,0.3902027027027027,臺企銀,TWSE,2026-06-29,2026-05,0.2252262682695476,0.10701971764889362,0.10701971764889362,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,36130220000.0,0.045759409186869604,0.07016144130890178,1.0,0.09938216188090632,1.0,0.6410213442389973,0.08457506521141059,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,8112,至上,TWSE,True,0.3902027027027027,至上,TWSE,2026-06-29,2026-05,2.5317875062011286,1.5398816557950448,1.5398816557950448,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,341609040000.0,0.5509769077590565,0.09176433320379496,0.5200675961100149,0.10498794476163797,0.5667342627766816,0.729433297159598,0.20011720262231783,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,3450,聯鈞,TWSE,True,0.3902027027027027,聯鈞,TWSE,2026-06-29,2026-05,0.49912727159183157,0.15480439539864022,0.15480439539864022,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,8507660000.0,-0.06714888561064603,0.08206529103845894,0.7666666666666666,0.06695357704095062,0.72,0.5571762061468419,0.12500455414511474,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,1477,聚陽,TWSE,True,0.3902027027027027,聚陽,TWSE,2026-06-29,2026-05,0.08844709275669449,0.01672001398410794,0.01672001398410794,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,33863015000.0,-0.07844371874342271,0.023794727997076937,0.757414887207633,0.06673944827826395,0.8507482205409662,0.5637942990752578,0.09759001941792697,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,3231,緯創,TWSE,True,0.3902027027027027,緯創,TWSE,2026-06-29,2026-05,0.3923976458540801,0.8312969022120087,0.8312969022120087,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,2917852091000.0,1.1654178019204995,0.3047514800142497,0.7666666666666666,0.20942330595530634,0.8599999999999999,0.7672377958351315,0.2120397179339222,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2892,第一金,TWSE,True,0.3902027027027027,第一金,TWSE,2026-06-29,2026-05,0.26921451807601504,0.2192667068199312,0.2192667068199312,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,81821131000.0,0.13880928793446978,0.046234568741413185,0.7666666666666666,0.05430531305682851,0.8599999999999999,0.6692938346790316,0.08546520532697562,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,3045,台灣大,TWSE,True,0.3902027027027027,台灣大,TWSE,2026-06-29,2026-05,0.03903493338065678,0.038519139416638204,0.038519139416638204,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,201269182000.0,0.009342450914988643,0.04897099597383936,0.7657498134806893,0.08389773177422466,0.8590831468140225,0.6153410987059343,0.09666189199534549,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
