decision_date,weekly_review,canonical_rank1,rank1_state,rank1_entry_confirmed_2d,incumbent,incumbent_state,incumbent_deterioration_confirmed_2d,market_state,controller_ready,decision,reason,pending_execution_date,normal_switch_enabled,00631L_fallback_used,future_return_used_as_rule
2023-07-17,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-07-18,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-07-19,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-07-20,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-07-21,True,5388,healthy_rise,True,,,False,PIT_warmup_or_low_confidence,False,remain_no_position,entry_gate_not_all_pass,,False,False,False
2023-07-24,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-07-25,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-07-26,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-07-27,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-07-28,True,5388,healthy_rise,True,,,False,PIT_warmup_or_low_confidence,False,remain_no_position,entry_gate_not_all_pass,,False,False,False
2023-07-31,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-08-01,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-08-02,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
2023-08-04,True,2481,healthy_rise,True,,,False,PIT_warmup_or_low_confidence,False,remain_no_position,entry_gate_not_all_pass,,False,False,False
2023-08-07,False,,,False,,,False,PIT_warmup_or_low_confidence,False,hold_no_position,not_weekly_review_or_not_ready,,False,False,False
