year,full_spec_v2_state,days,stock_exposure_share,net_return
2023,PIT_warmup_or_low_confidence,69,0.0,0.0
2023,ordinary_market,45,0.7333333333333333,0.09452851859493583
2023,strong_market,2,1.0,0.07348580124656334
2024,ordinary_market,213,0.9107981220657277,-0.21859751944682404
2024,strong_market,14,1.0,0.15608629515630135
2024,weak_market,15,0.8,-0.070680148573812
2025,ordinary_market,193,1.0,-0.06975709877287184
2025,strong_market,29,1.0,0.022099657008297635
2025,weak_market,21,1.0,-0.0827668701972466
2026,ordinary_market,86,1.0,-0.07847847355425652
2026,strong_market,19,1.0,-0.0034013251585740534
2026,weak_market,9,1.0,0.09623923707878657
