band_id,band_start_day,band_end_day,event_id,signal_date,ticker,horizon_day,path_date,sleeve_group,candidate_base,candidate_family_list,subpool_class,current_final_candidate,current_top3_candidate,long_strong_candidate,pullback_repair_candidate,momentum_sleeve_candidate,pullback_sleeve_candidate,market_attention_member,eligible_pool_member,rank_overall,risk_score,risk_bucket,adjusted_close,stock_1d_return,RS5,RS10,RS20,RS60,rs5_lt_rs10,rs10_lt_rs20,rs20_lt_rs60,rs60_high_short_window_weakening,relative_to_0050_spread,relative_to_0050_spread_contraction,BIAS20,BIAS60,BIAS20_z,BIAS60_z,stock_bias_overheat_broad,stock_bias_overheat_extreme,turnover_spike_ratio,blowoff_turnover_without_price_continuation,large_down_day,large_down_day_count_20d,volatility_20d,volatility_60d,volatility_shock_cluster,0050_BIAS60,market_bias_hot,observed_return_so_far,observed_excess_vs_0050_so_far,observed_excess_vs_00631L_so_far,max_observed_return_so_far,max_observed_excess_vs_0050_so_far,max_observed_excess_vs_00631L_so_far,drawdown_from_observed_return_peak,trailing_giveback_proxy,time_stop_5d_no_relative_expansion,time_stop_8d_no_relative_expansion,time_stop_10d_no_relative_expansion,time_stop_12d_no_relative_expansion,endpoint_30d_return,endpoint_30d_excess_vs_0050,endpoint_30d_excess_vs_00631L,evaluation_correct_exit_if_triggered,evaluation_false_exit_if_triggered,endpoint_labels_evaluation_metadata_only,future_high_as_rule,forward_return_as_rule,max_in_band_as_rule,diagnostic_only,not_live_rule
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,3,2015-03-18,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,13.65,0.022471910112359605,0.14939224229080916,0.6160993368588261,1.6560327997050526,,True,True,False,False,1.6560327997050526,True,0.4866851821597779,,,,False,False,1.7944698570227962,False,False,1.0,0.035624674459345196,,False,0.0330558173689201,False,0.018656716417910557,0.012177290009903308,0.022992367626772703,0.0671641791044777,0.07508333944004963,0.06392435026717536,-0.04850746268656714,0.04093198264040265,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,4,2015-03-19,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,14.6,0.06959706959706957,0.14898937137771107,0.6014146676475411,1.8275803697621897,,True,True,False,False,1.8275803697621897,False,0.5119349660850205,,,,False,False,1.3463943036973918,False,False,1.0,0.03372307511049089,,False,0.0427656746306082,False,0.08955223880597019,0.07227395030702422,0.10471512621662893,0.08955223880597019,0.07508333944004963,0.10471512621662893,0.0,0.0,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,5,2015-03-20,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,15.1,0.03424657534246567,0.1110271170704098,0.5507858730846975,1.8925942228013646,,True,True,False,False,1.8925942228013646,False,0.4873183944841172,,,,False,False,2.243777922329262,False,False,1.0,0.03284148237004878,,False,0.0398957187855136,False,0.12686567164179108,0.1110271170704098,0.14257650573620095,0.12686567164179108,0.1110271170704098,0.14257650573620095,0.0,0.0,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,6,2015-03-23,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,14.7,-0.026490066225165587,0.001121902897466498,0.40330617985470885,1.628067349443534,,True,True,False,False,1.628067349443534,True,0.3854201027284295,,,,False,False,0.5404519577757508,False,False,1.0,0.0373828636013362,,False,0.0412577457272842,False,0.09701492537313428,0.07829659107964049,0.11272575946754415,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.029850746268656803,0.029850746268656803,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,7,2015-03-24,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,14.75,0.003401360544217802,0.08534606543464296,0.3184289499218993,1.5955007814189495,,True,True,False,False,1.5955007814189495,True,0.33297184944195923,,,,False,False,0.8373696998760647,False,False,1.0,0.03826725294286728,,False,0.0358126371540668,False,0.10074626865671643,0.08562758104911738,0.11320534659549408,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.026119402985074647,0.02937115914070687,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,8,2015-03-25,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,13.75,-0.06779661016949157,0.002318991337423526,0.15283422880723885,1.2764900662251657,,True,True,False,False,1.2764900662251657,True,0.20076849183477438,,,,False,False,0.7097653563718755,False,True,2.0,0.046088480864145076,,False,0.0304866334087953,False,0.026119402985074647,0.014600517996861795,0.03641061982145,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.10074626865671643,0.10616588591475096,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,9,2015-03-26,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,14.1,0.025454545454545396,-0.01655411530846107,0.12709520889477433,1.2024363166699943,,True,True,False,False,1.2024363166699943,True,0.19158286148905598,,,,False,False,0.9122472047477183,False,False,2.0,0.04580602016241433,,False,0.0169741321429921,False,0.052238805970149294,0.05295867293393164,0.05495454276036027,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.07462686567164178,0.08762196297584068,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,10,2015-03-27,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,14.4,0.021276595744680993,-0.020843855416168733,0.08470617266578129,1.1059849924185128,,True,True,False,False,1.1059849924185128,True,0.17960270325619504,,,,False,False,1.2775217956330995,False,False,2.0,0.045478073866697014,,False,0.0067727869640091,False,0.07462686567164178,0.08470617266578129,0.0697551950973585,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.052238805970149294,0.07282131063884245,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,11,2015-03-30,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,14.2,-0.01388888888888895,-0.006452049404864324,-0.00554154480340463,0.9386583236774502,,True,True,False,False,0.9386583236774502,True,0.1316544469238125,,,,False,False,0.44143217202654417,False,False,2.0,0.04629159334064313,,False,0.0067680692587173,False,0.05970149253731338,0.06906062070068741,0.05591378801220248,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.0671641791044777,0.08666271772399847,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,12,2015-03-31,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,13.95,-0.017605633802816878,-0.0336699916148,0.04638980053492425,0.777982979575271,,True,True,False,False,0.777982979575271,True,0.08556087311777744,,,,False,False,0.962757945484451,False,False,2.0,0.04691220052202318,,False,0.0097490069058497,False,0.041044776119402826,0.04680433556362784,0.04050882774992415,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.08582089552238825,0.1020676779862768,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,13,2015-04-01,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,13.55,-0.028673835125447966,0.008230199195237708,0.010556668488531429,0.6221349120143166,,True,True,False,False,0.6221349120143166,True,0.03391705772385637,,,,False,False,0.20878529060982323,False,False,2.0,0.0476726135879543,,False,0.0033249507690741,False,0.011194029850746245,0.022713148739196165,0.003618549804581761,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.11567164179104483,0.1389579559316192,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,14,2015-04-02,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,13.55,0.0,-0.04044778526674486,-0.05564055184880701,0.5017633337101964,,False,True,False,False,0.5017633337101964,True,0.01642787487810376,,,,False,False,0.22172606293334213,False,False,2.0,0.04676283144708056,,False,0.0149935787399989,False,0.011194029850746245,0.010474240853709738,0.01444578600637847,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.11567164179104483,0.12813071972982248,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
band_3_30,3,30,2015-03-13|3085,2015-03-13,3085,15,2015-04-07,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,33.53495790293989,normal,13.3,-0.01845018450184499,-0.08875257004582537,-0.10573977469264773,0.37825336910955853,,False,True,False,False,0.37825336910955853,True,-0.015726179463459656,,,,False,False,0.13896105585349006,False,False,2.0,0.04612884847500662,,False,0.0158606504819252,False,-0.007462686567164201,-0.0096224433920028,-0.0009591742558998639,0.12686567164179108,0.1110271170704098,0.14257650573620095,-0.13432835820895528,0.14353567999210082,False,False,False,False,-0.36417910447761204,-0.4095354791673923,-0.32302609345449806,True,False,True,False,False,False,True,True
