event_id,signal_date,execution_date,execution_date_basis,week_id,ticker,name,sleeve_group,candidate_base,candidate_family_list,subpool_class,current_final_candidate,current_top3_candidate,long_strong_candidate,pullback_repair_candidate,momentum_sleeve_candidate,pullback_sleeve_candidate,market_attention_member,eligible_pool_member,rank_overall,rank_in_subpool,risk_score,risk_bucket,turnover_state,selected_by_vnext,selected_outcome_candidate,case_trace_only,diagnostic_only,not_live_rule,included_in_path_table,blocked_reason
2015-01-09|1101,2015-01-09,2015-01-12,next_trading_day_after_signal_date,2015-W02,1101,台泥,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|long_strong|market_attention_map,long_strong,True,True,True,False,False,False,True,True,1.0,1.0,25.0,low,normal,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2015-01-09|1102,2015-01-09,2015-01-12,next_trading_day_after_signal_date,2015-W02,1102,亞泥,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|long_strong|market_attention_map,long_strong,True,True,True,False,False,False,True,True,2.0,2.0,25.0,low,normal,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2015-01-16|1101,2015-01-16,2015-01-19,next_trading_day_after_signal_date,2015-W03,1101,台泥,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|long_strong|market_attention_map,long_strong,True,True,True,False,False,False,True,True,1.0,1.0,25.0,low,normal,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2015-01-16|1102,2015-01-16,2015-01-19,next_trading_day_after_signal_date,2015-W03,1102,亞泥,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|long_strong|market_attention_map,long_strong,True,True,True,False,False,False,True,True,2.0,2.0,25.0,low,normal,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2015-01-23|9105,2015-01-23,2015-01-26,next_trading_day_after_signal_date,2015-W04,9105,泰金寶-DR,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|market_attention_map,short_cycle,True,True,False,False,False,False,True,True,2.0,1.0,25.0,low,normal,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2015-02-06|3051,2015-02-06,2015-02-09,next_trading_day_after_signal_date,2015-W06,3051,力特,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,35.20430305059556,normal,high_attention,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2015-03-13|3085,2015-03-13,2015-03-16,next_trading_day_after_signal_date,2015-W11,3085,久大,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,1.0,33.53495790293989,normal,normal,True,True,False,True,True,True,
2015-04-02|4426,2015-04-02,2015-04-07,next_trading_day_after_signal_date,2015-W14,4426,利勤,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,34.02353706056513,normal,high_attention,True,True,False,True,True,True,
2015-04-17|4426,2015-04-17,2015-04-20,next_trading_day_after_signal_date,2015-W16,4426,利勤,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,60.82132382336024,high,high_attention,True,True,False,True,True,True,
2015-04-24|4426,2015-04-24,2015-04-27,next_trading_day_after_signal_date,2015-W17,4426,利勤,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,61.38186210133139,high,high_attention,True,True,False,True,True,True,
2015-04-30|3685,2015-04-30,2015-05-04,next_trading_day_after_signal_date,2015-W18,3685,政翔,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,1.0,59.71490204795201,normal,normal,True,True,False,True,True,True,
2015-04-30|4426,2015-04-30,2015-05-04,next_trading_day_after_signal_date,2015-W18,4426,利勤,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,61.517751228442975,high,high_attention,True,True,False,True,True,True,
2015-06-05|6294,2015-06-05,2015-06-08,next_trading_day_after_signal_date,2015-W23,6294,智基,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,62.18839716218105,high,normal,True,True,False,True,True,True,
2015-06-12|6294,2015-06-12,2015-06-15,next_trading_day_after_signal_date,2015-W24,6294,智基,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,64.16073012473211,high,high_attention,True,True,False,True,True,True,
2015-06-18|6294,2015-06-18,2015-06-22,next_trading_day_after_signal_date,2015-W25,6294,智基,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,1.0,1.0,67.86167289954987,high,high_attention,True,True,False,True,True,True,
2015-06-26|6294,2015-06-26,2015-06-29,next_trading_day_after_signal_date,2015-W26,6294,智基,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,1.0,1.0,68.38714133825752,high,high_attention,True,True,False,True,True,True,
2015-06-26|8048,2015-06-26,2015-06-29,next_trading_day_after_signal_date,2015-W26,8048,德勝,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,58.52803959346089,normal,high_attention,True,True,False,True,True,True,
2015-07-03|6294,2015-07-03,2015-07-06,next_trading_day_after_signal_date,2015-W27,6294,智基,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,67.24441190262553,high,high_attention,True,True,False,True,True,True,
2015-07-03|3205,2015-07-03,2015-07-06,next_trading_day_after_signal_date,2015-W27,3205,佰研,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,2.0,61.536565695460745,high,high_attention,True,True,False,True,True,True,
2015-07-09|3205,2015-07-09,2015-07-13,next_trading_day_after_signal_date,2015-W28,3205,佰研,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,1.0,1.0,62.80050476844862,high,high_attention,True,True,False,True,True,True,
2015-07-09|4523,2015-07-09,2015-07-13,next_trading_day_after_signal_date,2015-W28,4523,永彰,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,60.74001278429453,high,normal,True,True,False,True,True,True,
2015-07-17|6294,2015-07-17,2015-07-20,next_trading_day_after_signal_date,2015-W29,6294,智基,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,64.10309636786054,high,normal,True,True,False,True,True,True,
