event_id,signal_date,ticker,generated_horizon_rows,max_horizon_day,missing_observed_excess_vs_00631L,missing_endpoint_30d_excess_vs_00631L,blocked_reason,diagnostic_only
2015-01-09|1101,2015-01-09,1101,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2015-01-09|1102,2015-01-09,1102,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2015-01-16|1101,2015-01-16,1101,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2015-01-16|1102,2015-01-16,1102,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2015-01-23|9105,2015-01-23,9105,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2015-02-06|3051,2015-02-06,3051,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2017-01-20|3406,2017-01-20,3406,30,30,1,30,missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2017-01-24|3406,2017-01-24,3406,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2017-02-03|3406,2017-02-03,3406,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2017-02-17|3406,2017-02-17,3406,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2018-01-12|9958,2018-01-12,9958,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2018-01-19|9958,2018-01-19,9958,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2018-02-02|9958,2018-02-02,9958,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2018-02-12|9958,2018-02-12,9958,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-07-26|2387,2019-07-26,2387,30,30,1,30,missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2019-08-02|2387,2019-08-02,2387,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-08-08|2387,2019-08-08,2387,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-08-16|2387,2019-08-16,2387,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-08-16|5215,2019-08-16,5215,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-08-23|3338,2019-08-23,3338,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-08-23|6683,2019-08-23,6683,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-08-30|6231,2019-08-30,6231,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-08-30|6510,2019-08-30,6510,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2019-09-06|2367,2019-09-06,2367,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2020-05-08|4743,2020-05-08,4743,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2020-05-15|4743,2020-05-15,4743,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2020-05-22|4743,2020-05-22,4743,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2020-05-29|4743,2020-05-29,4743,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2020-06-05|4743,2020-06-05,4743,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2020-06-12|4743,2020-06-12,4743,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2021-02-19|4961,2021-02-19,4961,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2021-03-12|6485,2021-03-12,6485,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2021-03-19|6129,2021-03-19,6129,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2021-03-19|8040,2021-03-19,8040,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2021-03-26|8040,2021-03-26,8040,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2021-04-01|3362,2021-04-01,3362,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2021-08-13|1783,2021-08-13,1783,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2022-07-29|2364,2022-07-29,2364,30,30,1,30,missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2022-07-29|6133,2022-07-29,6133,30,30,1,30,missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2022-08-05|2305,2022-08-05,2305,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2022-08-05|6133,2022-08-05,6133,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2022-08-12|2364,2022-08-12,2364,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2022-08-12|6133,2022-08-12,6133,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2022-08-19|2364,2022-08-19,2364,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2022-08-26|6550,2022-08-26,6550,30,30,2,0,missing_observed_path_excess_vs_00631L,True
2022-09-02|2364,2022-09-02,2364,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2024-04-03|2359,2024-04-03,2359,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2024-04-12|2359,2024-04-12,2359,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2024-04-19|1618,2024-04-19,1618,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2024-04-19|2359,2024-04-19,2359,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2024-04-26|1587,2024-04-26,1587,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2025-02-07|5314,2025-02-07,5314,30,30,3,30,missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2025-03-14|5314,2025-03-14,5314,30,30,7,0,missing_observed_path_excess_vs_00631L,True
2025-12-26|8110,2025-12-26,8110,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-01-02|6265,2026-01-02,6265,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-01-09|4764,2026-01-09,4764,30,30,2,0,missing_observed_path_excess_vs_00631L,True
2026-01-16|5498,2026-01-16,5498,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-01-16|6265,2026-01-16,6265,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-01-23|6265,2026-01-23,6265,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-01-30|2337,2026-01-30,2337,30,30,2,0,missing_observed_path_excess_vs_00631L,True
2026-01-30|6265,2026-01-30,6265,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-02-06|3491,2026-02-06,3491,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-02-06|6510,2026-02-06,6510,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-02-11|6588,2026-02-11,6588,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-02-11|7717,2026-02-11,7717,30,30,1,0,missing_observed_path_excess_vs_00631L,True
2026-05-22|6861,2026-05-22,6861,28,28,2,28,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-05-29|3026,2026-05-29,3026,23,23,2,23,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-06-05|3026,2026-06-05,3026,18,18,2,18,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-06-05|7610,2026-06-05,7610,18,18,2,18,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-06-12|3026,2026-06-12,3026,13,13,2,13,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-06-12|7610,2026-06-12,7610,13,13,2,13,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-06-18|3026,2026-06-18,3026,9,9,2,9,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-06-18|7610,2026-06-18,7610,9,9,2,9,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-06-26|2492,2026-06-26,2492,4,4,2,4,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
2026-06-26|7610,2026-06-26,7610,4,4,2,4,insufficient_30d_future_path_with_current_data_coverage|missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L,True
