period,field,row_count,missing_count,missing_share
P1,within80_rank,32880,0,0.0
P1,within80_rank_score,32880,0,0.0
P1,final_selector_lifecycle_context_score,32880,0,0.0
P1,pool_selection_score,32880,0,0.0
P1,layer4_risk_aware_score,32880,0,0.0
P1,layer4_broad_opportunity_net_score,32880,0,0.0
P1,layer1_quality_floor_risk_pctile_by_week,32880,0,0.0
P1,layer2_support_signal_count,32880,0,0.0
P1,layer2_warning_signal_count,32880,0,0.0
P1,momentum_continuation_score,32880,0,0.0
P1,pullback_repair_score,32880,0,0.0
P1,overlap_reacceleration_score,32880,0,0.0
P1,neutral_quality_liquidity_score,32880,0,0.0
P1,exhaustion_risk_score,32880,0,0.0
P1,breakdown_risk_score,32880,0,0.0
P1,traded_value_rank_20d,32880,0,0.0
P1,RS20,32880,320,0.009732360097323601
P1,RS30_proxy,32880,320,0.009732360097323601
P1,RS60,32880,1095,0.0333029197080292
P1,BIAS20,32880,240,0.0072992700729927005
P1,BIAS60,32880,1030,0.031326034063260344
P1,volatility,32880,320,0.009732360097323601
P1,forward_excess_vs_0050_5d,32880,181,0.0055048661800486615
P1,forward_excess_vs_0050_10d,32880,194,0.005900243309002433
P1,forward_excess_vs_0050_20d,32880,201,0.006113138686131387
P1,forward_excess_vs_0050_30d,32880,270,0.008211678832116789
P1,forward_excess_vs_0050_40d,32880,281,0.008546228710462287
P1,forward_excess_vs_00631L_5d,32880,181,0.0055048661800486615
P1,forward_excess_vs_00631L_10d,32880,194,0.005900243309002433
P1,forward_excess_vs_00631L_20d,32880,201,0.006113138686131387
P1,forward_excess_vs_00631L_30d,32880,270,0.008211678832116789
P1,forward_excess_vs_00631L_40d,32880,281,0.008546228710462287
P2,within80_rank,4080,0,0.0
P2,within80_rank_score,4080,0,0.0
P2,final_selector_lifecycle_context_score,4080,0,0.0
P2,pool_selection_score,4080,0,0.0
P2,layer4_risk_aware_score,4080,0,0.0
P2,layer4_broad_opportunity_net_score,4080,0,0.0
P2,layer1_quality_floor_risk_pctile_by_week,4080,0,0.0
P2,layer2_support_signal_count,4080,0,0.0
P2,layer2_warning_signal_count,4080,0,0.0
P2,momentum_continuation_score,4080,0,0.0
P2,pullback_repair_score,4080,0,0.0
P2,overlap_reacceleration_score,4080,0,0.0
P2,neutral_quality_liquidity_score,4080,0,0.0
P2,exhaustion_risk_score,4080,0,0.0
P2,breakdown_risk_score,4080,0,0.0
P2,traded_value_rank_20d,4080,0,0.0
P2,RS20,4080,0,0.0
P2,RS30_proxy,4080,0,0.0
P2,RS60,4080,20,0.004901960784313725
P2,BIAS20,4080,0,0.0
P2,BIAS60,4080,20,0.004901960784313725
P2,volatility,4080,0,0.0
P2,forward_excess_vs_0050_5d,4080,2,0.0004901960784313725
P2,forward_excess_vs_0050_10d,4080,5,0.0012254901960784314
P2,forward_excess_vs_0050_20d,4080,3,0.0007352941176470588
P2,forward_excess_vs_0050_30d,4080,2,0.0004901960784313725
P2,forward_excess_vs_0050_40d,4080,1,0.00024509803921568627
P2,forward_excess_vs_00631L_5d,4080,2,0.0004901960784313725
P2,forward_excess_vs_00631L_10d,4080,5,0.0012254901960784314
P2,forward_excess_vs_00631L_20d,4080,3,0.0007352941176470588
P2,forward_excess_vs_00631L_30d,4080,2,0.0004901960784313725
P2,forward_excess_vs_00631L_40d,4080,1,0.00024509803921568627
P2|2024_latest,within80_rank,8240,0,0.0
P2|2024_latest,within80_rank_score,8240,0,0.0
P2|2024_latest,final_selector_lifecycle_context_score,8240,0,0.0
P2|2024_latest,pool_selection_score,8240,0,0.0
P2|2024_latest,layer4_risk_aware_score,8240,0,0.0
P2|2024_latest,layer4_broad_opportunity_net_score,8240,0,0.0
P2|2024_latest,layer1_quality_floor_risk_pctile_by_week,8240,0,0.0
P2|2024_latest,layer2_support_signal_count,8240,0,0.0
P2|2024_latest,layer2_warning_signal_count,8240,0,0.0
P2|2024_latest,momentum_continuation_score,8240,0,0.0
P2|2024_latest,pullback_repair_score,8240,0,0.0
P2|2024_latest,overlap_reacceleration_score,8240,0,0.0
P2|2024_latest,neutral_quality_liquidity_score,8240,0,0.0
P2|2024_latest,exhaustion_risk_score,8240,0,0.0
P2|2024_latest,breakdown_risk_score,8240,0,0.0
P2|2024_latest,traded_value_rank_20d,8240,0,0.0
P2|2024_latest,RS20,8240,0,0.0
P2|2024_latest,RS30_proxy,8240,0,0.0
P2|2024_latest,RS60,8240,7,0.0008495145631067961
P2|2024_latest,BIAS20,8240,0,0.0
P2|2024_latest,BIAS60,8240,7,0.0008495145631067961
P2|2024_latest,volatility,8240,0,0.0
P2|2024_latest,forward_excess_vs_0050_5d,8240,17,0.002063106796116505
