signal_date,entry_date,exit_date,candidate_rank,ticker,path_required_for_c2_top5_test,timing_variant,entry_price_kind,exit_price_kind,entry_close,exit_close,entry_open,gross_return_unadjusted,official_ohlc_path_ready,source_quality,blocked_reason,adjusted_close_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,2015-01-12,2015-01-19,1,2330,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-09,2015-01-12,2015-01-19,2,2454,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-09,2015-01-12,2015-01-19,3,3481,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-09,2015-01-12,2015-01-19,4,2317,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-09,2015-01-12,2015-01-19,5,2409,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,1,2330,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,2,2454,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,3,2317,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,4,3474,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,5,3481,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,1,2317,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,2,2454,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,3,3673,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,4,2303,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,5,2357,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,1,2603,True,next_day_close_entry_fixed_5td_exit,official_unadjusted_close,official_unadjusted_close,21.6,22.4,22.05,0.03703703703703698,True,official_unadjusted_ohlcv_twse_stock_day,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,2,3045,True,next_day_close_entry_fixed_5td_exit,official_unadjusted_close,official_unadjusted_close,106.0,107.0,104.0,0.009433962264151052,True,official_unadjusted_ohlcv_selected_ticker_month,,blocked_unadjusted_ohlc_only_adjusted_close_not_fabricated,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,3,3105,True,next_day_close_entry_fixed_5td_exit,official_unadjusted_close,official_unadjusted_close,33.55,34.3,33.3,0.02235469448584193,True,official_unadjusted_ohlcv_selected_ticker_month,,blocked_unadjusted_ohlc_only_adjusted_close_not_fabricated,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,4,2448,True,next_day_close_entry_fixed_5td_exit,official_unadjusted_close,official_unadjusted_close,55.0,56.5,56.5,0.027272727272727337,True,official_unadjusted_ohlcv_selected_ticker_month,,blocked_unadjusted_ohlc_only_adjusted_close_not_fabricated,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,5,3231,True,next_day_close_entry_fixed_5td_exit,official_unadjusted_close,official_unadjusted_close,28.55,28.7,29.0,0.005253940455341555,True,official_unadjusted_ohlcv_selected_ticker_month,,blocked_unadjusted_ohlc_only_adjusted_close_not_fabricated,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,1,4938,True,next_day_close_entry_fixed_5td_exit,official_unadjusted_close,official_unadjusted_close,82.2,86.9,81.0,0.05717761557177625,True,official_unadjusted_ohlcv_selected_ticker_month,,blocked_unadjusted_ohlc_only_adjusted_close_not_fabricated,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,2,4915,True,next_day_close_entry_fixed_5td_exit,official_unadjusted_close,official_unadjusted_close,43.6,43.7,42.9,0.002293577981651307,True,official_unadjusted_ohlcv_selected_ticker_month,,blocked_unadjusted_ohlc_only_adjusted_close_not_fabricated,True,False,False,False,False,False,False,False,True,False
