signal_date,0050_feature_asof_date,0050_adjusted_close,0050_ma20,0050_ma40,0050_ma60,0050_ma120,0050_bias20,0050_bias40,0050_bias60,0050_bias120,0050_price_vs_ma20,0050_price_vs_ma40,0050_price_vs_ma60,0050_price_vs_ma120,0050_above_ma20_flag,0050_above_ma40_flag,0050_above_ma60_flag,0050_above_ma120_flag,0050_return_20d,0050_return_40d,0050_return_60d,0050_return_slope_20d,0050_return_slope_40d,0050_return_slope_60d,0050_close_slope_20d,0050_close_slope_40d,0050_close_slope_60d,0050_close_vs_20d_high,0050_close_vs_40d_high,0050_close_vs_60d_high,0050_drawdown_from_20d_high,0050_drawdown_from_40d_high,0050_drawdown_from_60d_high,0050_new_20d_high_flag,0050_new_40d_high_flag,0050_new_60d_high_flag,0050_trend_state_label_candidate,trend_label_policy,0050_feature_algorithm,feature_asof_date,source_quality,diagnostic_only,00631L_feature_asof_date,00631L_adjusted_close,00631L_return_20d,00631L_return_60d,00631L_drawdown_from_20d_high,00631L_drawdown_from_60d_high,00631L_drawdown_from_120d_high,00631L_volatility_20d_daily_std,00631L_volatility_60d_daily_std,00631L_high_risk_context_candidate,00631L_context_policy,source_quality_00631L,pool80_rs20_positive_share,pool80_rs40_positive_share,pool80_rs60_positive_share,pool80_rs20_median,pool80_rs40_median,pool80_rs60_median,pool80_rs20_top10_median_proxy,pool80_rs40_top10_median,pool80_rs60_top10_median,pool80_rs20_top5_median,pool80_rs20_top1_minus_median,pool80_top10_traded_value_share,pool80_top20_traded_value_share,pool80_traded_value_breadth_proxy,pool80_top50_traded_value_concentration_proxy,pool80_top10_name_turnover_rate,pool80_top20_name_turnover_rate,pool80_top10_consecutive_stay_share,pool80_two_plus_opportunity_label_share,pool80_high_exhaustion_breakdown_share,pool80_feature_asof_date,pool80_source_quality,future_return_used_as_feature,state_start_date,state_end_date,holding_ticker,holding_asset_type,transition_action,target_state,previous_ticker,exception_has_signal,exception_ticker,exception_same_as_previous_signal,exception_consecutive_signal_count,cash_condition_status,path_ready,source_quality_exception,exception_alignment_policy,classifier_contract_policy,requested_period,actual_signal_date_coverage_start,actual_signal_date_coverage_end,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,2015-01-09,11.65059757232666,11.566940021514894,11.627262616157532,,,0.007232470355700071,0.002006917443896139,,,0.007232470355700071,0.002006917443896139,,,True,True,False,False,0.01301680990019527,0.01769211968053086,,0.0006508404950097635,0.0004423029920132715,,0.007485246658325196,0.005063509941101119,,-0.01562505665587821,-0.020000229426665128,,-0.01562505665587821,-0.020000229426665128,,False,False,False,neutral,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-01-09,benchmark_features_adjusted_close_pit_asof,True,2015-01-09,0.8713600039482117,-0.9556559785819789,,-0.956322808489967,,,0.21326299779277957,,False,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.0,,0.0,,,0.0,,,,,,,,1.0,0.5625,,,,0.1625,1.0,2015-01-09,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-01-12,2015-01-19,2330,stock,base_00631L_to_stock_exception,stock_exception,00631L,True,2330,False,1,blocked_no_bear_cash_classifier,True,official_unadjusted_ohlcv_twse_stock_day,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-16,11.536118507385254,11.60964994430542,11.633426904678345,,,-0.0063336480662997685,-0.008364551399206221,,,-0.0063336480662997685,-0.008364551399206221,,,False,False,False,False,0.030684437176630386,-0.005315210684264993,,0.0015342218588315192,-0.0001328802671066248,,0.01717205047607422,-0.0015411138534545898,,-0.025297549621685733,-0.029629731834722617,,-0.025297549621685733,-0.029629731834722617,,False,False,False,weak,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-01-16,benchmark_features_adjusted_close_pit_asof,True,2015-01-16,0.881820023059845,-0.955709692123656,,-0.955798496775099,,,0.21325170538712127,,False,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.0,,0.0,,,0.0,,,,,,,,1.0,0.575,,,,0.7375,1.0,2015-01-16,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-01-19,2015-01-26,2330,stock,hold_same_state_no_trade,stock_exception,2330,True,2330,True,2,blocked_no_bear_cash_classifier,True,official_unadjusted_ohlcv_twse_stock_day,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-23,12.09971523284912,11.6937490940094,11.64575548171997,,,0.03471650841625218,0.03898070432972056,,,0.03471650841625218,0.03898070432972056,,,True,True,False,False,0.03619914343397368,0.027673914413419487,,0.001809957171698684,0.0006918478603354872,,0.021134901046752842,0.008145737648010165,,0.0,0.0,,0.0,0.0,,True,True,False,neutral,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-01-23,benchmark_features_adjusted_close_pit_asof,True,2015-01-23,0.8500000238418579,-0.955889984242351,,-0.955889984242351,,,0.21318404045926365,,False,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.0,,0.0,,,0.0,,,,,,,,1.0,0.5375,,,,0.675,1.0,2015-01-23,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-01-26,2015-02-02,2317,stock,stock_exception_to_stock_exception_switch,stock_exception,2330,True,2317,False,1,blocked_no_bear_cash_classifier,True,official_unadjusted_ohlcv_twse_stock_day,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-01-30,2015-01-30,11.976428031921388,11.778728914260864,11.684722781181335,11.672761170069377,,0.016784418683850166,0.02496467021107729,0.026014998287693603,,0.016784418683850166,0.02496467021107729,0.026014998287693603,,True,True,True,False,0.017202672905974437,0.017202672905974437,0.0381679092715852,0.0008601336452987218,0.0004300668226493609,0.0006361318211930867,0.010127115249633788,0.005063557624816894,0.0073384920756022435,-0.016630417972565703,-0.016630417972565703,-0.016630417972565703,-0.016630417972565703,-0.016630417972565703,-0.016630417972565703,False,False,False,uptrend,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-01-30,benchmark_features_adjusted_close_pit_asof,True,2015-01-30,0.8554499745368958,-0.9550944877271873,-0.9578596055818983,-0.03636243878090761,-0.9590889535734373,,0.21339469797620433,0.12378930710152355,True,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.0,,0.0,,,0.0,,,,,,,,1.0,0.3875,,,,0.725,1.0,2015-01-30,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-02-02,2015-02-09,2603,stock,stock_exception_to_stock_exception_switch,stock_exception,2317,True,2603,False,1,blocked_no_bear_cash_classifier,True,official_unadjusted_ohlcv_twse_stock_day,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-06,12.1085205078125,11.910381650924682,11.738660836219788,11.721635627746583,,0.016635810899681358,0.031507825019656766,0.033006049015046335,,0.016635810899681358,0.031507825019656766,0.033006049015046335,,True,True,True,False,0.039304673656699984,0.052833105022073834,0.05769217632756929,0.0019652336828349993,0.001320827625551846,0.0009615362721261549,0.02289614677429199,0.015190696716308594,0.01100772221883141,-0.009366182435669335,-0.009366182435669335,-0.009366182435669335,-0.009366182435669335,-0.009366182435669335,-0.009366182435669335,False,False,False,uptrend,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-02-06,benchmark_features_adjusted_close_pit_asof,True,2015-02-06,0.8495500087738037,-0.02502983276210169,-0.957733831211416,-0.03659478515135872,-0.9593711135832961,,0.031243740943065996,0.12490826095248712,True,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.6,,0.0,0.0083449915604291,,0.0,0.0979923689125946,,,,0.2759411489791131,,,1.0,0.35,,,,1.0,0.0,2015-02-06,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-02-09,2015-02-24,00631L,etf,stock_exception_to_base_00631L,base_00631L,2603,False,,False,0,blocked_no_bear_cash_classifier,True,benchmark_features_adjusted_close_exact_reference,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-02-13,2015-02-13,12.23180866241455,12.047758340835571,11.828704142570496,11.77153738339742,,0.015276727534876411,0.034078502174495595,0.03910035401716483,,0.015276727534876411,0.034078502174495595,0.03910035401716483,,True,True,True,False,0.06030539254463507,0.09284026675021329,0.054669645993598026,0.0030152696272317536,0.002321006668755332,0.0009111607665599671,0.03478450775146484,0.025978279113769532,0.010567426681518555,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,uptrend,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-02-13,benchmark_features_adjusted_close_pit_asof,True,2015-02-13,0.8445500135421753,-0.042264870997537285,-0.9585598602394443,-0.03780205524075797,-0.9596102333952575,,0.031178838081101327,0.12480554015287247,True,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.5,,0.0,6.875711522889995e-05,,0.0,0.098704228281624,,,,0.2162215950209871,,,1.0,0.3375,,,,1.0,0.0,2015-02-13,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-02-24,2015-03-02,00631L,etf,hold_same_state_no_trade,base_00631L,00631L,False,,False,0,blocked_no_bear_cash_classifier,True,benchmark_features_adjusted_close_exact_reference,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-02-26,2015-02-26,12.381516456604004,12.145507287979125,11.901135158538818,11.804707368214926,,0.019431808242251547,0.040364325895460684,0.04886263338828556,,0.019431808242251547,0.040364325895460684,0.04886263338828556,,True,True,True,False,0.045353485213192046,0.0651517449942105,0.052395477514838085,0.0022676742606596023,0.0016287936248552625,0.0008732579585806348,0.026859092712402433,0.01893339157104488,0.010273949305216471,-0.007061790417593694,-0.007061790417593694,-0.007061790417593694,-0.007061790417593694,-0.007061790417593694,-0.007061790417593694,False,False,False,uptrend,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-02-26,benchmark_features_adjusted_close_pit_asof,True,2015-02-26,0.8336399793624878,-0.036254369743938475,-0.9571833585638242,-0.02911585218764745,-0.9582135364670704,,0.03120415370919067,0.1245213238404608,True,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.725,,0.0,0.0154063519645555,,0.0,0.1443003600435083,,,,0.2966963031731296,,,1.0,0.375,,,,1.0,0.0,2015-02-26,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-03-02,2015-03-09,00631L,etf,hold_same_state_no_trade,base_00631L,00631L,False,,False,0,blocked_no_bear_cash_classifier,True,benchmark_features_adjusted_close_exact_reference,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-03-06,2015-03-06,12.29345417022705,12.1987850189209,11.977308893203736,11.84536264737447,,0.007760539361855612,0.02639535139673188,0.03782843431576155,,0.007760539361855612,0.02639535139673188,0.03782843431576155,,True,True,True,False,0.009400203201500368,0.03869077763572015,0.044910420878395696,0.0004700101600750184,0.0009672694408930038,0.0007485070146399283,0.0057242393493652345,0.011448144912719727,0.008806244532267252,-0.014123963235708192,-0.014123963235708192,-0.014123963235708192,-0.014123963235708192,-0.014123963235708192,-0.014123963235708192,False,False,False,uptrend,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-03-06,benchmark_features_adjusted_close_pit_asof,True,2015-03-06,0.836359977722168,-0.010224911947366189,-0.9569994886932965,-0.02231573719440727,-0.9580771957023756,,0.031083695982521763,0.12452515487570458,True,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,1.0,,0.0,0.0568184567212711,,0.0,0.2032772881346981,,,,0.2718668797920961,,,1.0,0.3125,,,,1.0,0.0,2015-03-06,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-03-09,2015-03-16,00631L,etf,hold_same_state_no_trade,base_00631L,00631L,False,,False,0,blocked_no_bear_cash_classifier,True,benchmark_features_adjusted_close_exact_reference,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-03-13,2015-03-13,12.23180866241455,12.231367778778075,12.047978568077088,11.88425669670105,,3.604532579259967e-05,0.015258169102703167,0.02924473735155675,,3.604532579259967e-05,0.015258169102703167,0.02924473735155675,,True,True,True,False,0.0007203855455377717,0.0684615280805203,0.046722100746457995,3.6019277276888585e-05,0.0017115382020130077,0.0007787016791076332,0.0004402637481689453,0.019593787193298386,0.009099769592285185,-0.019067637168596607,-0.019067637168596607,-0.019067637168596607,-0.019067637168596607,-0.019067637168596607,-0.019067637168596607,False,False,False,uptrend,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-03-13,benchmark_features_adjusted_close_pit_asof,True,2015-03-13,0.8395500183105469,-0.006978491778619644,-0.9564999973316883,-0.01597549529358877,-0.957917293924612,,0.031034464579747522,0.12453736865832883,True,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.9875,,0.0,0.0768715876986093,,0.0,0.2081906971067806,,,,0.2201179504199749,,,1.0,0.325,,,,1.0,0.025,2015-03-13,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-03-16,2015-03-23,00631L,etf,hold_same_state_no_trade,base_00631L,00631L,False,,False,0,blocked_no_bear_cash_classifier,True,benchmark_features_adjusted_close_exact_reference,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
2015-03-20,2015-03-20,12.425542831420898,12.28024206161499,12.13251805305481,11.948835452397665,,0.011832077012560172,0.024152016678212096,0.03989571878551379,,0.011832077012560172,0.024152016678212096,0.03989571878551379,,True,True,True,False,0.02246369225655065,0.07545734972529416,0.0837173315908406,0.0011231846128275324,0.0018864337431323541,0.0013952888598473435,0.013649559020996094,0.02179534435272217,0.015997918446858696,-0.0035310864090573046,-0.0035310864090573046,-0.0035310864090573046,-0.0035310864090573046,-0.0035310864090573046,-0.0035310864090573046,False,False,False,uptrend,candidate_feature_label_only_not_live_rule,rolling_adjusted_close_asof_signal_date_including_signal_close,2015-03-20,benchmark_features_adjusted_close_pit_asof,True,2015-03-20,0.8263599872589111,-0.024160990117603087,-0.9579674469139079,-0.025725681880357953,-0.9585784483380062,,0.0047550343267408635,0.12445776953261331,True,diagnostic_context_only_not_cash_or_fallback_rule,benchmark_features_adjusted_close_pit_asof,0.9875,,0.0,0.0956048928247887,,0.0,0.3568395864319739,,,,0.3901281362301358,,,1.0,0.3,,,,1.0,0.0125,2015-03-20,regime_switch_materialized_pool_aggregate_partial_proxy,False,2015-03-23,2015-03-30,00631L,etf,hold_same_state_no_trade,base_00631L,00631L,False,,False,0,blocked_no_bear_cash_classifier,True,benchmark_features_adjusted_close_exact_reference,consensus4_exception_aligned_to_state_machine_signal_dates,feature_readiness_only_no_threshold_no_verdict_no_live_rule,P1_2015-01-02_to_2022-12-29,2015-01-09,2022-12-23,False,False,False,False,False,False,False,True,False
