snapshot_date,dynamic80_row_count,dynamic80_rs20_positive_share,dynamic80_rs60_positive_share,dynamic80_rs20_median,dynamic80_rs20_p75,dynamic80_rs20_top_decile_median,dynamic80_rs20_dispersion_top_minus_median,dynamic80_traded_value_breadth,dynamic80_traded_value_top50_concentration_proxy,dynamic80_two_plus_opportunity_label_share,dynamic80_high_exhaustion_breakdown_share,pool_confirmation_threshold_decided_by_core,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2015-01-09,80,0.0,0.0,,,,,1.0,0.5625,0.1625,1.0,False,True,False,False,False,False,False,False,True,False
2015-01-16,80,0.0,0.0,,,,,1.0,0.575,0.7375,1.0,False,True,False,False,False,False,False,False,True,False
2015-01-23,80,0.0,0.0,,,,,1.0,0.5375,0.675,1.0,False,True,False,False,False,False,False,False,True,False
2015-01-30,80,0.0,0.0,,,,,1.0,0.3875,0.725,1.0,False,True,False,False,False,False,False,False,True,False
2015-02-06,80,0.6,0.0,0.0083449915604291,0.0398354891165562,0.09799236891259461,0.2759411489791131,1.0,0.35,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-02-13,80,0.5,0.0,6.875711522889995e-05,0.027846162926730724,0.098704228281624,0.2162215950209871,1.0,0.3375,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-02-26,80,0.725,0.0,0.0154063519645555,0.0600176201060829,0.1443003600435083,0.2966963031731296,1.0,0.375,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-03-06,80,1.0,0.0,0.05681845672127115,0.11373877247919552,0.2032772881346981,0.2718668797920961,1.0,0.3125,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-03-13,80,0.9875,0.0,0.07687158769860936,0.14351425404642773,0.20819069710678065,0.22011795041997495,1.0,0.325,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-03-20,80,0.9875,0.0,0.09560489282478876,0.15826437446500144,0.3568395864319739,0.39012813623013587,1.0,0.3,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-03-27,80,0.9625,0.0,0.0826287985267347,0.13294074054715943,0.260212012608675,0.33697338654347736,0.9875,0.2875,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-04-02,80,0.825,0.0,0.0461648743069453,0.10002723687203877,0.26022904831317306,0.3462074165244555,1.0,0.275,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2015-04-10,80,0.825,0.1125,0.029506978687844097,0.0778560663239741,0.2063739565120128,0.454215180644209,0.9875,0.3,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-04-17,80,0.8625,0.7,0.045856086817226804,0.0841981240955125,0.1830821556046995,0.1880783014963047,0.9875,0.3,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-04-24,80,0.6375,0.6,0.02229972939279585,0.0693762264437665,0.15591985003564154,0.4448917328194479,1.0,0.3625,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-04-30,80,0.7375,0.725,0.0283529340891295,0.08376090651179367,0.206747309558109,0.3671925514030778,1.0,0.3375,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-05-08,80,0.6,0.6125,0.01366442826207475,0.06524938536877357,0.12136057351858295,0.13461449081935856,0.9875,0.4,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-05-15,80,0.4625,0.525,-0.00365909246681965,0.025662042195616876,0.09234171249032905,0.15345319936541515,1.0,0.35,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-05-22,80,0.65,0.6375,0.0118272691553711,0.05673670762912517,0.15805246245051546,0.24551527654975927,1.0,0.375,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-05-29,80,0.6875,0.7375,0.021623387448906052,0.08621007463681223,0.1994878453779157,0.23147148367796608,1.0,0.35,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-06-05,80,0.675,0.65,0.02216664634530835,0.0770686956486518,0.18994392718124858,0.24375357806982723,0.975,0.3375,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-06-12,80,0.625,0.5625,0.004694415000323349,0.040099572738990376,0.15981023727806049,0.24508723599632673,1.0,0.3,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-06-18,80,0.6,0.6875,0.0094236780097168,0.05463161767726948,0.18856889535112087,0.29969082519481033,0.9875,0.275,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-06-26,80,0.5,0.6,0.00036458559032610463,0.028050058614627976,0.11550956280625921,0.1874250648098316,1.0,0.2625,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-07-03,80,0.475,0.525,-0.005664621381565401,0.038749734565495776,0.22515047410980682,0.3120814810585004,1.0,0.2875,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-07-09,80,0.5125,0.55,0.00140894212797415,0.01594950908789595,0.14546291235129927,0.2586122772131391,0.9875,0.25,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-07-17,80,0.625,0.5875,0.0106554190689993,0.03949007055419973,0.1415354231101093,0.3789079115584604,0.9875,0.275,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-07-24,80,0.6,0.475,0.008193669030436949,0.0326494377199517,0.07691923247089336,0.08678887501776016,0.95,0.2125,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-07-31,80,0.4,0.3625,-0.01244238726282205,0.02667196583665695,0.07288900981007965,0.14220830593457154,1.0,0.2625,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-08-07,80,0.475,0.3875,-0.00538247612305735,0.0360178077293433,0.08380043884530786,0.21215980558912115,0.975,0.2875,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-08-14,80,0.5375,0.4125,0.0045317116739465,0.042753483353236026,0.11373721883520545,0.1618981174476866,0.95,0.2625,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2015-08-21,80,0.55,0.425,0.00541149526731525,0.06133697222188447,0.12536285943243605,0.285959163173904,0.975,0.325,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-08-28,80,0.5625,0.275,0.0079511109799065,0.0393291188920981,0.09845205191520795,0.1313127963715039,0.9875,0.275,1.0,0.05,False,True,False,False,False,False,False,False,True,False
2015-09-04,80,0.7375,0.475,0.03896098995971565,0.08091105320740315,0.20052392604536515,0.25149950718383673,1.0,0.3125,1.0,0.1,False,True,False,False,False,False,False,False,True,False
2015-09-11,80,0.7,0.475,0.0243661457159651,0.06917332602715112,0.1362613394934129,0.1772936479207548,1.0,0.225,1.0,0.075,False,True,False,False,False,False,False,False,True,False
2015-09-18,80,0.7625,0.45,0.049349055644036,0.09958510490619973,0.2350080991062183,0.2828696126568467,0.9875,0.325,1.0,0.1625,False,True,False,False,False,False,False,False,True,False
