snapshot_date,routing_variant,selected_route_mode,ticker,name,recommendation_type,entry_date,exit_date,next_day_close_ready,next_day_open_ready,adjusted_close_ready,entry_close,entry_open,exit_close,gross_return_next_day_close_unadjusted_5td,gross_return_next_day_open_unadjusted_5td,net_return_local_ep05_cost_unit_notional_close_entry,cost_model_version,formal_portfolio_replay,path_blocked_reason,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2024-01-05,conservative_hurdle_route,rs20_top3_risk_tiebreak,6546,正基,stock,2024-01-08,2024-01-15,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-01-05,dispersion_route,rs20_top3_risk_tiebreak,6546,正基,stock,2024-01-08,2024-01-15,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-01-05,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,6546,正基,stock,2024-01-08,2024-01-15,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-01-05,market_bias_pool_trend_route,stable_strength,5521,工信,stock,2024-01-08,2024-01-15,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-01-05,pool_breadth_route,stable_strength,5521,工信,stock,2024-01-08,2024-01-15,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-01-12,conservative_hurdle_route,rs20_top3_risk_tiebreak,2353,宏碁,stock,2024-01-15,2024-01-22,True,True,False,46.25,47.2,46.75,0.0108108108108107,-0.009533898305084776,0.0049066490912064034,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-12,dispersion_route,rs20_top3_risk_tiebreak,2353,宏碁,stock,2024-01-15,2024-01-22,True,True,False,46.25,47.2,46.75,0.0108108108108107,-0.009533898305084776,0.0049066490912064034,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-12,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,2353,宏碁,stock,2024-01-15,2024-01-22,True,True,False,46.25,47.2,46.75,0.0108108108108107,-0.009533898305084776,0.0049066490912064034,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-12,market_bias_pool_trend_route,stable_strength,2353,宏碁,stock,2024-01-15,2024-01-22,True,True,False,46.25,47.2,46.75,0.0108108108108107,-0.009533898305084776,0.0049066490912064034,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-12,pool_breadth_route,stable_strength,2353,宏碁,stock,2024-01-15,2024-01-22,True,True,False,46.25,47.2,46.75,0.0108108108108107,-0.009533898305084776,0.0049066490912064034,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-19,conservative_hurdle_route,hurdle_reference,6756,威鋒電子,00631L,2024-01-22,2024-01-29,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,00631L_reference_path_separate_from_ordinary_stock_path,True,False,False,False,False,False,False,True,False
2024-01-19,dispersion_route,rs20_top3_risk_tiebreak,3622,洋華,stock,2024-01-22,2024-01-29,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-01-19,hybrid_pullback_base_mega_override,pullback_repair,8210,勤誠,stock,2024-01-22,2024-01-29,True,True,False,312.5,317.0,286.5,-0.08320000000000005,-0.09621451104100942,-0.08855480939660983,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-19,market_bias_pool_trend_route,pullback_repair,8210,勤誠,stock,2024-01-22,2024-01-29,True,True,False,312.5,317.0,286.5,-0.08320000000000005,-0.09621451104100942,-0.08855480939660983,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-19,pool_breadth_route,low_risk_strength,6117,迎廣,stock,2024-01-22,2024-01-29,True,True,False,77.2,78.8,72.9,-0.05569948186528495,-0.07487309644670037,-0.061216405168541634,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-26,conservative_hurdle_route,hurdle_reference,3032,偉訓,00631L,2024-01-29,2024-02-05,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,00631L_reference_path_separate_from_ordinary_stock_path,True,False,False,False,False,False,False,True,False
2024-01-26,dispersion_route,rs20_top3_risk_tiebreak,9958,世紀鋼,stock,2024-01-29,2024-02-05,True,True,False,225.0,219.0,219.0,-0.026666666666666616,0.0,-0.03235313209996754,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-26,hybrid_pullback_base_mega_override,pullback_repair,3036,文曄,stock,2024-01-29,2024-02-05,True,True,False,151.5,150.5,171.0,0.1287128712871286,0.1362126245847175,0.12211919207050657,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-26,market_bias_pool_trend_route,pullback_repair,3036,文曄,stock,2024-01-29,2024-02-05,True,True,False,151.5,150.5,171.0,0.1287128712871286,0.1362126245847175,0.12211919207050657,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-01-26,pool_breadth_route,low_risk_strength,6531,愛普*,stock,2024-01-29,2024-02-05,True,True,False,519.0,491.5,497.0,-0.042389210019267876,0.011190233977619535,-0.0479831531500932,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-02,conservative_hurdle_route,rs20_top3_risk_tiebreak,6442,光聖,stock,2024-02-05,2024-02-21,True,True,False,92.9,93.9,137.5,0.48008611410118407,0.46432374866879655,0.4714401009945469,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-02,dispersion_route,rs20_top3_risk_tiebreak,6442,光聖,stock,2024-02-05,2024-02-21,True,True,False,92.9,93.9,137.5,0.48008611410118407,0.46432374866879655,0.4714401009945469,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-02,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,6442,光聖,stock,2024-02-05,2024-02-21,True,True,False,92.9,93.9,137.5,0.48008611410118407,0.46432374866879655,0.4714401009945469,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-02,market_bias_pool_trend_route,stable_strength,3376,新日興,stock,2024-02-05,2024-02-21,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-02-02,pool_breadth_route,stable_strength,3376,新日興,stock,2024-02-05,2024-02-21,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-02-05,conservative_hurdle_route,rs20_top3_risk_tiebreak,2376,技嘉,stock,2024-02-15,2024-02-22,True,True,False,370.5,370.5,347.0,-0.06342780026990558,-0.06342780026990558,-0.06889973032875327,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-05,dispersion_route,rs20_top3_risk_tiebreak,2376,技嘉,stock,2024-02-15,2024-02-22,True,True,False,370.5,370.5,347.0,-0.06342780026990558,-0.06342780026990558,-0.06889973032875327,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-05,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,2376,技嘉,stock,2024-02-15,2024-02-22,True,True,False,370.5,370.5,347.0,-0.06342780026990558,-0.06342780026990558,-0.06889973032875327,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-05,market_bias_pool_trend_route,stable_strength,3036,文曄,stock,2024-02-15,2024-02-22,True,True,False,172.5,176.5,173.5,0.005797101449275255,-0.016997167138810165,-7.789036930520293e-05,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-05,pool_breadth_route,stable_strength,3036,文曄,stock,2024-02-15,2024-02-22,True,True,False,172.5,176.5,173.5,0.005797101449275255,-0.016997167138810165,-7.789036930520293e-05,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-16,conservative_hurdle_route,rs20_top3_risk_tiebreak,2383,台光電,stock,2024-02-19,2024-02-26,True,True,False,515.0,529.0,524.0,0.01747572815533971,-0.009451795841209809,0.011533017195134256,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-16,dispersion_route,rs20_top3_risk_tiebreak,2383,台光電,stock,2024-02-19,2024-02-26,True,True,False,515.0,529.0,524.0,0.01747572815533971,-0.009451795841209809,0.011533017195134256,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-16,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,2383,台光電,stock,2024-02-19,2024-02-26,True,True,False,515.0,529.0,524.0,0.01747572815533971,-0.009451795841209809,0.011533017195134256,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-16,market_bias_pool_trend_route,stable_strength,4909,新復興,stock,2024-02-19,2024-02-26,True,True,False,53.0,53.0,60.0,0.13207547169811318,0.13207547169811318,0.1254623637874285,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-16,pool_breadth_route,stable_strength,4909,新復興,stock,2024-02-19,2024-02-26,True,True,False,53.0,53.0,60.0,0.13207547169811318,0.13207547169811318,0.1254623637874285,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
2024-02-23,conservative_hurdle_route,rs20_top3_risk_tiebreak,6290,良維,stock,2024-02-26,2024-03-05,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-02-23,dispersion_route,rs20_top3_risk_tiebreak,6290,良維,stock,2024-02-26,2024-03-05,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-02-23,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,6290,良維,stock,2024-02-26,2024-03-05,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-02-23,market_bias_pool_trend_route,stable_strength,3689,湧德,stock,2024-02-26,2024-03-05,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-02-23,pool_breadth_route,stable_strength,3689,湧德,stock,2024-02-26,2024-03-05,False,False,False,,,,,,,taiwan_standard_fee_tax_v1,False,missing_unadjusted_entry_or_exit_price,True,False,False,False,False,False,False,True,False
2024-03-01,conservative_hurdle_route,rs20_top3_risk_tiebreak,3147,大綜,stock,2024-03-04,2024-03-11,True,True,False,147.0,150.0,130.0,-0.11564625850340138,-0.1333333333333333,-0.1208126481171335,taiwan_standard_fee_tax_v1,False,adjusted_close_blocked_unadjusted_path_available,True,False,False,False,False,False,False,True,False
