snapshot_date,ticker,name,market,scope_bucket,revenue_spike_anomaly_score,revenue_lumpiness_score,revenue_concentration_ratio_top1_12m,revenue_concentration_ratio_top3_12m,revenue_growth_persistence_score,revenue_reversion_risk_score,low_base_distortion_flag,ttm_vs_recent_growth_gap,abnormal_revenue_review_flag,revenue_anomaly_report_text
2026-06-29,8926,台汽電,TWSE,latest_layer4_primary80,1.0,0.5068743323027831,0.2310493111103938,0.6206849917970176,0.8333333333333334,0.23958333333333331,False,5.262831795976272,True,近期營收暴增程度位於自身歷史高分位；營收集中度偏高；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。
2026-06-29,5289,宜鼎,TPEx,latest_layer4_primary80,1.0,0.4313106658413036,0.20410154861418078,0.5371379001615066,1.0,0.0,False,3.6700990043592925,True,近期營收暴增程度位於自身歷史高分位；營收集中度偏高；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。
2026-06-29,5351,鈺創,TPEx,latest_layer4_primary80,1.0,0.3222971048432607,0.1923133452355856,0.47396377495283987,1.0,0.03125,True,4.273535297096375,True,近期營收暴增程度位於自身歷史高分位；營收集中度偏高；短期成長與 TTM/長期趨勢落差大；YoY 可能受低基期扭曲；只作 review / soft penalty，不 hard exclude。
2026-06-29,8299,群聯,TPEx,latest_layer4_primary80,1.0,0.2774647419789006,0.1740792442117092,0.4678551452241874,1.0,0.0625,False,1.7279384169420782,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。
2026-06-29,3006,晶豪科,TWSE,latest_layer4_primary80,1.0,0.2604736395679591,0.17904689585910422,0.4685186838654172,1.0,0.03125,False,1.9434932724576814,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。
2026-06-29,8112,至上,TWSE,latest_layer4_primary80,1.0,0.2001172026223178,0.15784461968570856,0.41655052805394144,1.0,0.058823529411764705,False,1.980810598442072,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。
2026-06-29,2885,元大金,TWSE,latest_layer4_primary80,1.0,0.1449963488400293,0.1287581761727837,0.3408718670277955,1.0,0.08823529411764706,True,1.8751079206597565,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；YoY 可能受低基期扭曲；只作 review / soft penalty，不 hard exclude。
2026-06-29,2347,聯強,TWSE,latest_layer4_primary80,1.0,0.1277774020324092,0.1330903958542422,0.3556219514488302,1.0,0.09375,False,1.060801779079102,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。
2026-06-29,4931,新盛力,TPEx,latest_layer4_primary80,0.992,0.1699297920173463,0.13853872904606013,0.3360114496634147,0.7916666666666666,0.2178137254901961,False,1.3394541512997584,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。
2026-06-29,6005,群益證,TWSE,latest_layer4_primary80,0.983739837398374,0.2013493421482524,0.16504166381259172,0.4059688392186933,1.0,0.058823529411764705,False,1.0155153323504507,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。
2026-06-29,3450,聯鈞,TWSE,latest_layer4_primary80,0.936,0.1250045541451147,0.11286546476939605,0.3091307127929419,0.27499999999999997,0.38932352941176473,False,0.5662761572024776,True,近期營收暴增程度位於自身歷史高分位；成長連續性不足；只作 review / soft penalty，不 hard exclude。
2026-06-29,1402,遠東新,TWSE,latest_layer4_primary80,0.928,0.071757979978756,0.09222663930260357,0.27284302581831865,0.3333333333333333,0.29733333333333334,False,0.21944149768196008,True,近期營收暴增程度位於自身歷史高分位；成長連續性不足；只作 review / soft penalty，不 hard exclude。
2026-06-29,6806,森崴能源,MOPS_PUB,sanity_case_not_latest_primary80,0.35294117647058826,0.2867231662208861,0.24860061012139467,0.5703473505709017,0.2833333333333333,0.15980392156862747,False,0.3687504187518522,True,成長連續性不足；營收集中度偏高；只作 review / soft penalty，不 hard exclude。
