decision_date,C0,C1,C2,C3,placebo_seed_101,placebo_seed_17,placebo_seed_29,placebo_seed_43,placebo_seed_71,simple_v0_reference
2023-07-17,2388,2388,2388,2388,9910,6470,8028,1514,3356,2388
2023-07-18,2388,2388,2388,2388,9910,6470,8028,1514,3356,2388
2023-07-19,2388,2388,2388,2388,9910,6470,8028,1514,3356,2388
2023-07-20,2388,2388,2388,2388,9910,6470,8028,1514,3356,2388
2023-07-21,2388,2388,2388,2388,9910,6470,8028,1514,3356,2388
2023-07-24,3515,3515,3515,3515,2886,4919,2345,3324,6515,3515
2023-07-25,3515,3515,3515,3515,2886,4919,2345,3324,6515,3515
2023-07-26,3515,3515,3515,3515,2886,4919,2345,3324,6515,3515
2023-07-27,3515,3515,3515,3515,2886,4919,2345,3324,6515,3515
2023-07-28,3515,3515,3515,3515,2886,4919,2345,3324,6515,3515
2023-07-31,6531,6531,6531,6531,8155,3374,3704,2419,1476,6531
2023-08-01,6531,6531,6531,6531,8155,3374,3704,2419,1476,6531
2023-08-02,6531,6531,6531,6531,8155,3374,3704,2419,1476,6531
2023-08-04,6531,6531,6531,6531,8155,3374,3704,2419,1476,6531
2023-08-07,8210,8210,8210,8210,3264,3289,3008,5439,2886,8210
2023-08-08,8210,8210,8210,8210,3264,3289,3008,5439,2886,8210
2023-08-09,8210,8210,8210,8210,3264,3289,3008,5439,2886,8210
2023-08-10,8210,8210,8210,2353,3264,3289,3008,5439,2886,8210
2023-08-11,8210,8210,8210,2353,3264,3289,3008,5439,2886,8210
2023-08-14,2353,2353,2353,2353,6197,3032,2353,3617,2458,2353
2023-08-15,2353,2353,2353,2353,6197,3032,2353,3617,2458,2353
2023-08-16,2353,2353,2353,2353,6197,3032,2353,3617,2458,2353
2023-08-17,2353,2353,2353,2353,6197,3032,2353,3617,2458,2353
2023-08-18,2353,2353,2353,2353,6197,3032,2353,3617,2458,2353
2023-08-21,3583,3583,3583,3583,1590,2492,6531,2359,2634,3583
2023-08-22,3583,3583,3583,3583,1590,2492,6531,2359,2634,3583
2023-08-23,3583,3583,3583,3583,1590,2492,6531,2359,2634,3583
2023-08-24,3583,3583,3583,3583,1590,2492,6531,2359,2634,3583
2023-08-25,3583,3583,3583,3583,1590,2492,6531,2359,2634,3583
2023-08-28,1519,1519,1519,1519,6223,6799,3037,5371,2882,1519
2023-08-29,1519,1519,1519,1519,6223,6799,3037,5371,2882,1519
2023-08-30,1519,1519,1519,1519,6223,6799,3037,5371,2882,1519
2023-08-31,1519,1519,1519,1519,6223,6799,3037,5371,2882,1519
2023-09-01,1519,1519,1519,1519,6223,6799,3037,5371,2882,1519
2023-09-04,9958,9958,9958,9958,2457,2885,3533,9958,2327,9958
2023-09-05,9958,9958,9958,9958,2457,2885,3533,9958,2327,9958
2023-09-06,6274,6274,6274,6274,3689,3324,6643,8358,3548,6274
2023-09-07,6274,6274,6274,6274,3689,3324,6643,8358,3548,6274
2023-09-08,6274,6274,6274,6274,3689,3324,6643,8358,3548,6274
2023-09-11,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-12,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-13,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-14,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-15,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-18,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-19,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-20,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-21,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-22,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-25,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-26,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-27,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-09-28,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-10-02,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-10-03,2436,2436,2436,2436,3017,2201,2105,2105,6414,2436
2023-10-04,2436,2436,2436,1560,3017,2201,2105,2105,6414,1560
2023-10-05,2436,2436,2436,1560,3017,2201,2105,2105,6414,1560
2023-10-06,2436,2436,2436,1560,3017,2201,2105,2105,6414,1560
2023-10-11,3325,3325,3325,3325,6223,3008,1522,6531,1590,3325
2023-10-12,3325,3325,3325,3325,6223,3008,1522,6531,1590,3325
2023-10-13,3325,3325,3325,3325,6223,3008,1522,6531,1590,3325
2023-10-16,3483,3483,3483,3483,2885,3617,2354,4908,9958,3483
2023-10-17,3483,3483,3483,3483,2885,3617,2354,4908,9958,3483
2023-10-18,3483,3483,3483,3483,2885,3617,2354,4908,9958,3483
2023-10-19,3483,3483,3483,3483,2885,3617,2354,4908,9958,3483
2023-10-20,3483,3483,3483,3483,2885,3617,2354,4908,9958,3483
2023-10-23,3548,3548,3548,3548,3406,4763,4961,8048,2886,3548
2023-10-24,3548,3548,3548,3548,3406,4763,4961,8048,2886,3548
2023-10-25,3548,3548,3548,3548,3406,4763,4961,8048,2886,3548
2023-10-26,3548,3548,3548,3548,3406,4763,4961,8048,2886,3548
2023-10-27,3548,3548,3548,3548,3406,4763,4961,8048,2886,3548
2023-10-30,4162,4162,4162,4162,4966,3014,2891,3661,6139,4162
2023-10-31,4162,4162,4162,4162,4966,3014,2891,3661,6139,4162
2023-11-01,4162,4162,4162,4162,4966,3014,2891,3661,6139,4162
2023-11-02,4162,4162,4162,4162,4966,3014,2891,3661,6139,4162
2023-11-03,4162,4162,4162,4162,4966,3014,2891,3661,6139,4162
2023-11-06,3548,3548,3548,3548,2363,5904,3545,8936,1590,3548
2023-11-07,3548,3548,3548,3548,2363,5904,3545,8936,1590,3548
2023-11-08,3548,3548,3548,3548,2363,5904,3545,8936,1590,3548
2023-11-09,3548,3548,3548,3548,2363,5904,3545,8936,1590,3548
2023-11-10,3548,3548,3548,3548,2363,5904,3545,8936,1590,3548
2023-11-13,2454,2454,2454,2454,2890,3044,1795,6691,6531,2454
2023-11-14,2454,2454,2454,2454,2890,3044,1795,6691,6531,2454
2023-11-15,2454,2454,2454,2454,2890,3044,1795,6691,6531,2454
2023-11-16,2454,2454,2454,2454,2890,3044,1795,6691,6531,2454
2023-11-17,2454,2454,2454,2454,2890,3044,1795,6691,6531,2454
2023-11-20,3545,3545,3545,3545,2618,4129,5706,4908,3545,3545
2023-11-21,3545,3545,3545,3545,2618,4129,5706,4908,3545,3545
