scenario,decision_date,requested_execution_date,selected_ticker,selected_action,action_reason,applied_market_state,confidence_floor,challenger_margin_required
C2,2024-03-14,2024-03-15,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-15,2024-03-18,2379,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market,0.7,5.0
C2,2024-03-18,2024-03-19,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-19,2024-03-20,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-20,2024-03-21,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-21,2024-03-22,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-22,2024-03-25,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-25,2024-03-26,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-26,2024-03-27,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-27,2024-03-28,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-28,2024-03-29,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-03-29,2024-04-01,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-01,2024-04-02,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-02,2024-04-03,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-03,2024-04-08,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-08,2024-04-09,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-09,2024-04-10,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-10,2024-04-11,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-11,2024-04-12,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-12,2024-04-15,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-15,2024-04-16,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-16,2024-04-17,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-17,2024-04-18,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-18,2024-04-19,2379,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-19,2024-04-22,2379,hold_incumbent,applied_controller_switch_gate_failed,weak_market,0.77,4.0
C2,2024-04-22,2024-04-23,2515,switch_to_challenger,applied_controller_margin_blocks_weakening,weak_market,0.77,4.0
C2,2024-04-23,2024-04-24,2515,hold_incumbent,valid_incumbent_no_better_challenger,weak_market,0.77,4.0
C2,2024-04-24,2024-04-25,2515,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market,0.7,5.0
C2,2024-04-25,2024-04-26,2515,hold_incumbent,applied_controller_switch_gate_failed,weak_market,0.77,4.0
C2,2024-04-26,2024-04-29,2515,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-29,2024-04-30,2515,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-04-30,2024-05-02,2515,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-02,2024-05-03,2515,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-03,2024-05-06,2515,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-06,2024-05-07,2618,forced_replacement,invalid_or_weak_incumbent,ordinary_market,0.7,5.0
C2,2024-05-07,2024-05-08,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-08,2024-05-09,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
