scenario,date,held_ticker,exposure,mark_close,mark_source_quality,stale_mark
C0,2023-07-17,,0,,no_position,False
C0,2023-07-18,2388,1,125.0,official_twse_raw_execution_ohlcv,False
C0,2023-07-19,2388,1,127.5,official_twse_raw_execution_ohlcv,False
C0,2023-07-20,2388,1,135.0,official_twse_raw_execution_ohlcv,False
C0,2023-07-21,2388,1,148.5,official_twse_raw_execution_ohlcv,False
C0,2023-07-24,2388,1,151.0,official_twse_raw_execution_ohlcv,False
C0,2023-07-25,3515,1,272.0,official_twse_raw_execution_ohlcv,False
C0,2023-07-26,3515,1,261.0,official_twse_raw_execution_ohlcv,False
C0,2023-07-27,3515,1,258.0,official_twse_raw_execution_ohlcv,False
C0,2023-07-28,3515,1,262.5,official_twse_raw_execution_ohlcv,False
C0,2023-07-31,3515,1,253.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-01,6531,1,386.5,official_twse_raw_execution_ohlcv,False
C0,2023-08-02,6531,1,348.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-04,6531,1,343.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-07,6531,1,315.5,official_twse_raw_execution_ohlcv,False
C0,2023-08-08,8210,1,196.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-09,8210,1,212.5,official_twse_raw_execution_ohlcv,False
C0,2023-08-10,8210,1,191.5,official_twse_raw_execution_ohlcv,False
C0,2023-08-11,8210,1,192.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-14,8210,1,183.5,official_twse_raw_execution_ohlcv,False
C0,2023-08-15,2353,1,37.4,official_twse_raw_execution_ohlcv,False
C0,2023-08-16,2353,1,37.7,official_twse_raw_execution_ohlcv,False
C0,2023-08-17,2353,1,38.55,official_twse_raw_execution_ohlcv,False
C0,2023-08-18,2353,1,37.4,official_twse_raw_execution_ohlcv,False
C0,2023-08-21,2353,1,37.95,official_twse_raw_execution_ohlcv,False
C0,2023-08-22,3583,1,244.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-23,3583,1,246.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-24,3583,1,241.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-25,3583,1,226.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-28,3583,1,217.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-29,1519,1,289.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-30,1519,1,293.0,official_twse_raw_execution_ohlcv,False
C0,2023-08-31,1519,1,299.5,official_twse_raw_execution_ohlcv,False
C0,2023-09-01,1519,1,292.5,official_twse_raw_execution_ohlcv,False
C0,2023-09-04,1519,1,300.0,official_twse_raw_execution_ohlcv,False
C0,2023-09-05,9958,1,165.0,official_twse_raw_execution_ohlcv,False
C0,2023-09-06,9958,1,165.0,hold_prior_official_mark_no_trade,True
C0,2023-09-07,6274,1,135.0,official_tpex_raw_execution_ohlcv,False
C0,2023-09-08,6274,1,129.0,official_tpex_raw_execution_ohlcv,False
C0,2023-09-11,6274,1,116.5,official_tpex_raw_execution_ohlcv,False
C0,2023-09-12,2436,1,74.1,official_twse_raw_execution_ohlcv,False
C0,2023-09-13,2436,1,72.9,official_twse_raw_execution_ohlcv,False
C0,2023-09-14,2436,1,74.5,official_twse_raw_execution_ohlcv,False
C0,2023-09-15,2436,1,74.0,official_twse_raw_execution_ohlcv,False
C0,2023-09-18,2436,1,73.7,official_twse_raw_execution_ohlcv,False
C0,2023-09-19,2436,1,72.2,official_twse_raw_execution_ohlcv,False
C0,2023-09-20,2436,1,70.8,official_twse_raw_execution_ohlcv,False
C0,2023-09-21,2436,1,68.8,official_twse_raw_execution_ohlcv,False
C0,2023-09-22,2436,1,68.9,official_twse_raw_execution_ohlcv,False
C0,2023-09-25,2436,1,68.3,official_twse_raw_execution_ohlcv,False
C0,2023-09-26,2436,1,67.0,official_twse_raw_execution_ohlcv,False
C0,2023-09-27,2436,1,67.7,official_twse_raw_execution_ohlcv,False
C0,2023-09-28,2436,1,67.5,official_twse_raw_execution_ohlcv,False
C0,2023-10-02,2436,1,69.0,official_twse_raw_execution_ohlcv,False
C0,2023-10-03,2436,1,71.0,official_twse_raw_execution_ohlcv,False
C0,2023-10-04,2436,1,70.9,official_twse_raw_execution_ohlcv,False
C0,2023-10-05,2436,1,71.4,official_twse_raw_execution_ohlcv,False
C0,2023-10-06,2436,1,71.0,official_twse_raw_execution_ohlcv,False
C0,2023-10-11,2436,1,21.45,official_twse_raw_execution_ohlcv,False
C0,2023-10-12,3325,1,37.4,official_tpex_raw_execution_ohlcv,False
C0,2023-10-13,3325,1,36.75,official_tpex_raw_execution_ohlcv,False
C0,2023-10-16,3325,1,35.5,official_tpex_raw_execution_ohlcv,False
C0,2023-10-17,3483,1,148.5,official_tpex_raw_execution_ohlcv,False
C0,2023-10-18,3483,1,147.0,official_tpex_raw_execution_ohlcv,False
C0,2023-10-19,3483,1,145.5,official_tpex_raw_execution_ohlcv,False
C0,2023-10-20,3483,1,143.5,official_tpex_raw_execution_ohlcv,False
C0,2023-10-23,3483,1,137.5,official_tpex_raw_execution_ohlcv,False
C0,2023-10-24,3548,1,152.0,official_tpex_raw_execution_ohlcv,False
C0,2023-10-25,3548,1,151.5,official_tpex_raw_execution_ohlcv,False
C0,2023-10-26,3548,1,146.0,official_tpex_raw_execution_ohlcv,False
C0,2023-10-27,3548,1,139.5,official_tpex_raw_execution_ohlcv,False
C0,2023-10-30,3548,1,140.5,official_tpex_raw_execution_ohlcv,False
C0,2023-10-31,4162,1,113.5,official_tpex_raw_execution_ohlcv,False
C0,2023-11-01,4162,1,114.5,official_tpex_raw_execution_ohlcv,False
C0,2023-11-02,4162,1,114.0,official_tpex_raw_execution_ohlcv,False
C0,2023-11-03,4162,1,112.0,official_tpex_raw_execution_ohlcv,False
C0,2023-11-06,4162,1,115.5,official_tpex_raw_execution_ohlcv,False
C0,2023-11-07,3548,1,180.0,official_tpex_raw_execution_ohlcv,False
C0,2023-11-08,3548,1,177.5,official_tpex_raw_execution_ohlcv,False
C0,2023-11-09,3548,1,177.5,official_tpex_raw_execution_ohlcv,False
C0,2023-11-10,3548,1,179.0,official_tpex_raw_execution_ohlcv,False
C0,2023-11-13,3548,1,183.0,official_tpex_raw_execution_ohlcv,False
C0,2023-11-14,2454,1,905.0,official_twse_raw_execution_ohlcv,False
C0,2023-11-15,2454,1,908.0,official_twse_raw_execution_ohlcv,False
C0,2023-11-16,2454,1,893.0,official_twse_raw_execution_ohlcv,False
C0,2023-11-17,2454,1,904.0,official_twse_raw_execution_ohlcv,False
C0,2023-11-20,2454,1,912.0,official_twse_raw_execution_ohlcv,False
C0,2023-11-21,3545,1,120.0,official_twse_raw_execution_ohlcv,False
C0,2023-11-22,3545,1,123.5,official_twse_raw_execution_ohlcv,False
C0,2023-11-23,3545,1,125.0,official_twse_raw_execution_ohlcv,False
C0,2023-11-24,3545,1,125.0,official_twse_raw_execution_ohlcv,False
C0,2023-11-27,3545,1,120.5,official_twse_raw_execution_ohlcv,False
C0,2023-11-28,3545,1,120.5,hold_prior_official_mark_no_trade,True
C0,2023-11-29,3362,1,180.0,official_tpex_raw_execution_ohlcv,False
C0,2023-11-30,3362,1,184.5,official_tpex_raw_execution_ohlcv,False
C0,2023-12-01,3362,1,193.0,official_tpex_raw_execution_ohlcv,False
C0,2023-12-04,3362,1,186.0,official_tpex_raw_execution_ohlcv,False
C0,2023-12-05,3362,1,181.0,official_tpex_raw_execution_ohlcv,False
C0,2023-12-06,3362,1,180.0,official_tpex_raw_execution_ohlcv,False
C0,2023-12-07,3362,1,179.5,official_tpex_raw_execution_ohlcv,False
