period,requested_start,requested_end,actual_start,actual_end,field,rows,available_rows,missing_rows,available_share,diagnostic_only
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,RS5,42069,41966,103,0.9975516413511136,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,RS10,42069,41863,206,0.9951032827022273,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,RS20,42069,41657,412,0.9902065654044546,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,RS30_proxy,42069,41657,412,0.9902065654044546,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,RS40,42069,41226,843,0.9799614918348427,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,RS60,42069,40795,1274,0.9697164182652309,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,RS5_positive_share_20d_proxy,42069,41118,951,0.97739428082436,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,turnover_rank_pct_20d,42069,41754,315,0.9925123012194252,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,turnover_rank_pct_60d,42069,40799,1270,0.9698115001545081,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,MA20_slope_20d_proxy,42069,39388,2681,0.9362713637119969,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,BIAS20_percentile,42069,41754,315,0.9925123012194252,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,BIAS60_percentile,42069,40799,1270,0.9698115001545081,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,volatility_20d_proxy,42069,41011,1058,0.9748508402861965,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,large_down_day_count_20d,42069,41118,951,0.97739428082436,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,risk_score,42069,42069,0,1.0,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,blowoff_turnover_proxy,42069,42069,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,RS5,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,RS10,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,RS20,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,RS30_proxy,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,RS40,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,RS60,18482,18478,4,0.9997835732063629,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,RS5_positive_share_20d_proxy,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,turnover_rank_pct_20d,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,turnover_rank_pct_60d,18482,18478,4,0.9997835732063629,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,MA20_slope_20d_proxy,18482,18289,193,0.9895574072070122,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,BIAS20_percentile,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,BIAS60_percentile,18482,18478,4,0.9997835732063629,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,volatility_20d_proxy,18482,18481,1,0.9999458933015908,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,large_down_day_count_20d,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,risk_score,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,blowoff_turnover_proxy,18482,18482,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,RS5,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,RS10,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,RS20,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,RS30_proxy,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,RS40,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,RS60,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,RS5_positive_share_20d_proxy,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,turnover_rank_pct_20d,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,turnover_rank_pct_60d,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,MA20_slope_20d_proxy,13234,13099,135,0.9897990025691401,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,BIAS20_percentile,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,BIAS60_percentile,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,volatility_20d_proxy,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,large_down_day_count_20d,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,risk_score,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,blowoff_turnover_proxy,13234,13234,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,RS5,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,RS10,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,RS20,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,RS30_proxy,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,RS40,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,RS60,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,RS5_positive_share_20d_proxy,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,turnover_rank_pct_20d,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,turnover_rank_pct_60d,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,MA20_slope_20d_proxy,2674,2621,53,0.9801795063575168,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,BIAS20_percentile,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,BIAS60_percentile,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,volatility_20d_proxy,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,large_down_day_count_20d,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,risk_score,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,blowoff_turnover_proxy,2674,2674,0,1.0,True
