signal_date,ticker,name,risk_score,risk_bucket,BIAS20,BIAS60,BIAS120,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,volatility,volatility_20d_proxy,volatility_60d_proxy,large_down_day_count_20d,large_down_day_count_30d,drawdown_20d,drawdown_60d,drawdown_120d,RS_exhaustion_proxy,blowoff_turnover_proxy,extreme_overheat_flag,extreme_risk_bucket_flag,high_risk_or_overheat_context,bias20_weak_bucket_context,source_asof_date,diagnostic_only,not_live_rule,risk_penalty_components_available
2015-01-09,1316,上曜,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1319,東陽,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1321,大洋,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1323,永裕,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1324,地球,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1325,恆大,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1326,台化,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1333,恩得利,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1336,台翰,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1337,再生-KY,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1338,廣華-KY,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1339,昭輝,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1340,勝悅-KY,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1402,遠東新,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1409,新纖,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1410,南染,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1413,宏洲,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1414,東和,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
